"Pending Appointment and Electronic Wait List
Summary -National, Facility, and Division Level
Summaries Wait Time Calculated from Preferred
Date
For the period ending:  11/1/2016","1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0-14
Days","9. EWL 0-
14 Days","10. Appts
Between 15-30
Days","11. EWL 15
-30 days","12. Appts
Between 31-60
Days","13. EWL 31
-60 Days","14. Appts
Between 61-90
Days","15. EWL 61
-90 Days","16. Appts
Between 91-
120 Days","17. EWL 91
-120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
(V15) (657GM) Effingham,603,600,99.50%,3,0.50%,0,0,565,0,35,0,2,0,0,0,0,0,1,0,3.52,1.1,3.76
(V15) (657GO) Hanson,185,181,97.84%,4,2.16%,0,0,167,0,14,0,4,0,0,0,0,0,0,0,5.23,10.05,2.48
(V15) (657GP) Owensboro,"1,247","1,226",98.32%,21,1.68%,0,0,"1,136",0,90,0,20,0,1,0,0,0,0,0,4.88,4.25,2.14
(V15) (657GQ) Vincennes,716,532,74.30%,184,25.70%,0,0,464,0,68,0,108,0,67,0,9,0,0,0,31.26,1.77,2.77
(V15) (657GR) Mayfield,"1,044","1,028",98.47%,16,1.53%,0,5,983,1,45,4,16,0,0,0,0,0,0,0,2.28,6.92,2.53
(V15) (657GT) Carbondale,790,784,99.24%,6,0.76%,0,0,753,0,31,0,3,0,2,0,1,0,0,0,2.74,0,1.72
(V15) (657GU) Harrisburg,357,352,98.60%,5,1.40%,0,0,340,0,12,0,5,0,0,0,0,0,0,0,3.16,6.15,0.43
"(V15) (657) Poplar Bluff, MO","10,887","10,463",96.11%,424,3.89%,5,0,"9,570",0,893,0,262,0,138,0,16,0,8,0,6.11,7.24,5.44
(V15) (657A4) John J. Pershing VAMC,"6,095","5,800",95.16%,295,4.84%,0,0,"5,117",0,683,0,182,0,101,0,11,0,1,0,9.37,7.39,6.41
(V15) (657GF) West Plains,885,869,98.19%,16,1.81%,0,0,832,0,37,0,9,0,5,0,0,0,2,0,3.28,2,3.32
(V15) (657GG) Paragould,785,771,98.22%,14,1.78%,0,0,763,0,8,0,4,0,4,0,4,0,2,0,3.21,0,1.91
(V15) (657GH) Cape Girardeau,"1,707","1,629",95.43%,78,4.57%,0,0,"1,524",0,105,0,57,0,18,0,1,0,2,0,2.38,5.96,6.75
(V15) (657GI) Farmington,"1,074","1,055",98.23%,19,1.77%,0,0,"1,011",0,44,0,8,0,10,0,0,0,1,0,2.59,1.12,4.52
(V15) (657GN) Salem,14,14,100.00%,0,0.00%,0,0,11,0,3,0,0,0,0,0,0,0,0,0,5.36,,
(V15) (657GV) Sikeston,327,325,99.39%,2,0.61%,0,0,312,0,13,0,2,0,0,0,0,0,0,0,2.7,3.91,2.02
"(V15) (657) St. Louis, MO","62,535","57,961",92.69%,"4,574",7.31%,38,471,"52,790",156,"5,171",18,"2,642",48,"1,148",51,401,24,383,174,10.52,10.99,4.12
(V15) (657) John J. Cochran VAMC,"37,820","35,115",92.85%,"2,705",7.15%,0,2,"31,864",2,"3,251",0,"1,750",0,581,0,184,0,190,0,13.5,8.88,4.59
(V15) (657A0) St Louis-Jeff Bks.,"21,223","19,586",92.29%,"1,637",7.71%,0,151,"18,220",23,"1,366",2,680,6,551,15,215,12,191,93,7.77,19.32,3.98
(V15) (657GA) Belleville,"1,102",907,82.30%,195,17.70%,0,33,523,0,384,0,184,0,11,0,0,0,0,33,19.43,3.11,5.57
(V15) (657GB) St. Louis County,"1,006",996,99.01%,10,0.99%,0,0,964,0,32,0,5,0,2,0,2,0,1,0,4.83,5.75,3.13
(V15) (657GD) St. Charles,959,935,97.50%,24,2.50%,0,284,812,131,123,16,21,42,3,36,0,12,0,47,6.49,10.46,4.86
(V15) (657GS) Washington,422,419,99.29%,3,0.71%,0,1,404,0,15,0,2,0,0,0,0,0,1,1,2.82,4.2,2.84
(V15) (657MA) IDES Scott AFB,3,3,100.00%,0,0.00%,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V16) (502) Alexandria, LA","32,663","29,943",91.67%,"2,720",8.33%,4,88,"28,185",8,"1,758",3,"1,209",12,604,14,254,10,653,41,7.65,14.95,7.41
(V16) (502) Alexandria VAMC,"23,373","21,428",91.68%,"1,945",8.32%,0,43,"20,592",5,836,1,674,6,412,12,227,8,632,11,7.23,15.18,4.1
(V16) (502GA) Jennings,"1,652","1,551",93.89%,101,6.11%,0,45,"1,472",3,79,2,59,6,37,2,3,2,2,30,3.09,0.5,10.27
(V16) (502GB) Lafayette,"4,958","4,414",89.03%,544,10.97%,0,0,"3,785",0,629,0,385,0,132,0,18,0,9,0,10.2,9.57,11.6
(V16) (502GE) Lake Charles,421,398,94.54%,23,5.46%,0,0,335,0,63,0,16,0,0,0,2,0,5,0,9.84,,
(V16) (502GF) Fort Polk,"1,715","1,629",94.99%,86,5.01%,0,0,"1,494",0,135,0,66,0,11,0,4,0,5,0,3.11,0,8.28
(V16) (502GG) Natchitoches,544,523,96.14%,21,3.86%,0,0,507,0,16,0,9,0,12,0,0,0,0,0,5.15,,4.87
"(V16) (520) Gulf Coast HCS, MS","47,263","43,315",91.65%,"3,948",8.35%,199,946,"39,833",275,"3,482",236,"2,024",345,"1,017",69,429,17,478,4,12.34,7.5,11.89
(V16) (520) Biloxi VAMC,"20,773","19,573",94.22%,"1,200",5.78%,0,173,"18,288",122,"1,285",9,685,13,273,15,156,13,86,1,17.41,3.59,13.08
(V16) (520BZ) Pensacola,"16,766","14,856",88.61%,"1,910",11.39%,0,65,"13,251",3,"1,605",14,"1,046",36,551,6,180,4,133,2,11.46,12.96,7.7
(V16) (520GA) Mobile,"4,526","4,467",98.70%,59,1.30%,0,538,"4,327",107,140,192,39,232,12,7,4,0,4,0,3.27,3.93,1.76
(V16) (520GB) Panama City Beach,"2,600","2,462",94.69%,138,5.31%,0,0,"2,279",0,183,0,104,0,25,0,6,0,3,0,10.58,0.24,4.82
(V16) (520GC) Eglin AFB,"2,598","1,957",75.33%,641,24.67%,0,170,"1,688",43,269,21,150,64,156,41,83,0,252,1,18.35,3.5,64.86
"(V16) (564) Fayetteville, AR","23,123","22,056",95.39%,"1,067",4.61%,0,35,"20,773",5,"1,283",4,766,5,231,2,50,7,20,12,2.54,6.4,1.99
(V16) (564BY) Gene Taylor,"15,165","14,997",98.89%,168,1.11%,0,14,"14,585",3,412,2,97,2,32,6,19,1,20,0,2.36,3.46,1.28
(V16) (564GA) Harrison,421,414,98.34%,7,1.66%,0,13,409,1,5,0,7,1,0,0,0,3,0,8,1.71,0,1.41
(V16) (564GB) Fort Smith,"5,219","5,160",98.87%,59,1.13%,0,0,"4,821",0,339,0,48,0,5,0,5,0,1,0,2.29,10.21,1.46
(V16) (564GC) Branson,"4,690","4,631",98.74%,59,1.26%,0,1,"4,603",1,28,0,49,0,1,0,4,0,5,0,1.97,1.1,0.79
(V16) (564GD) Ozark,326,326,100.00%,0,0.00%,0,0,324,0,2,0,0,0,0,0,0,0,0,0,0.26,2.43,0.2
(V16) (564GE) Jay,966,965,99.90%,1,0.10%,0,0,961,0,4,0,1,0,0,0,0,0,0,0,0.98,4.5,1.13
"(V16) (580) Houston, TX","100,706","97,637",96.95%,"3,069",3.05%,5,250,"92,170",6,"5,467",2,"2,436",6,410,10,129,21,94,205,4.42,4.71,2.55
(V16) (580) Michael E DeBakey VAMC,"61,190","59,278",96.88%,"1,912",3.12%,0,235,"55,842",3,"3,436",2,"1,524",6,257,10,84,18,47,196,6.61,4.37,1.91
(V16) (580BY) Beaumont,"10,546","10,382",98.44%,164,1.56%,0,1,"10,205",1,177,0,103,0,21,0,22,0,18,0,1.95,2.34,1.17
(V16) (580BZ) Charles Wilson VA OPC,"4,241","4,095",96.56%,146,3.44%,0,13,"3,872",1,223,0,99,0,33,0,1,3,13,9,5.42,12.96,1.61
(V16) (580GC) Galveston County,"5,851","5,467",93.44%,384,6.56%,0,0,"5,024",0,443,0,313,0,47,0,19,0,5,0,5.06,8.09,7.72
(V16) (580GD) Conroe,"4,404","4,262",96.78%,142,3.22%,0,1,"4,004",1,258,0,132,0,7,0,1,0,2,0,1.88,4.7,4.9
(V16) (580GE) Katy,"6,444","6,396",99.26%,48,0.74%,0,0,"5,965",0,431,0,38,0,1,0,1,0,8,0,3.42,5.41,1.08
(V16) (580GF) Lake Jackson,"1,318","1,316",99.85%,2,0.15%,0,0,"1,265",0,51,0,2,0,0,0,0,0,0,0,2.37,3,2.06
(V16) (580GG) Richmond,"2,919","2,884",98.80%,35,1.20%,0,0,"2,735",0,149,0,32,0,2,0,0,0,1,0,3.25,2.63,2.01
(V16) (580GH) Tomball,"3,793","3,557",93.78%,236,6.22%,0,0,"3,258",0,299,0,193,0,42,0,1,0,0,0,5.8,8.45,4.14
"(V16) (586) Jackson, MS","39,074","35,976",92.07%,"3,098",7.93%,40,86,"33,727",18,"2,249",4,"1,303",11,716,40,912,6,167,7,11.38,10.86,0.73
"(V16) (586) G. V. (Sonny) Montgomery
VAMC","32,607","29,639",90.90%,"2,968",9.10%,0,85,"27,704",17,"1,935",4,"1,220",11,700,40,900,6,148,7,15.45,10.89,0.78
(V16) (586GA) Durant (Kosciusko),334,330,98.80%,4,1.20%,0,0,321,0,9,0,2,0,1,0,1,0,0,0,4.61,,1.69
(V16) (586GB) Meridian,713,700,98.18%,13,1.82%,0,0,623,0,77,0,5,0,3,0,4,0,1,0,8.36,0,0.18
(V16) (586GC) Greenville,520,517,99.42%,3,0.58%,0,0,471,0,46,0,3,0,0,0,0,0,0,0,6.85,0,0.42
(V16) (586GD) Hattiesburg,"2,135","2,063",96.63%,72,3.37%,0,0,"1,965",0,98,0,60,0,2,0,2,0,8,0,6.66,0,0.81
(V16) (586GE) Natchez (Adams County),325,324,99.69%,1,0.31%,0,0,315,0,9,0,0,0,0,0,1,0,0,0,4.73,0,0.01
(V16) (586GF) Columbus,"1,503","1,482",98.60%,21,1.40%,0,0,"1,457",0,25,0,9,0,2,0,1,0,9,0,4.11,0,0.13
(V16) (586GG) McComb,937,921,98.29%,16,1.71%,0,1,871,1,50,0,4,0,8,0,3,0,1,0,5.09,0,0.3
"(V16) (598) Little Rock, AR","86,395","83,155",96.25%,"3,240",3.75%,14,0,"79,014",0,"4,141",0,"1,568",0,683,0,464,0,525,0,5.34,7.59,3.34
"(V16) (598) John L McClellan Memorial
Veterans Hospital","32,182","30,563",94.97%,"1,619",5.03%,0,0,"28,703",0,"1,860",0,728,0,336,0,273,0,282,0,2.04,8.23,0
"(V16) (598A0) Central AR. Veterans HCS
NLR","30,284","29,662",97.95%,622,2.05%,0,0,"28,235",0,"1,427",0,330,0,136,0,73,0,83,0,4.88,4.8,3.34
(V16) (598GA) Mountain Home,"3,624","3,572",98.57%,52,1.43%,0,0,"3,491",0,81,0,13,0,6,0,9,0,24,0,4.74,0,2.22
(V16) (598GB) El Dorado,"2,209","2,081",94.21%,128,5.79%,0,0,"1,906",0,175,0,115,0,7,0,1,0,5,0,6.64,0,6.42
(V16) (598GC) Hot Springs,"3,864","3,768",97.52%,96,2.48%,0,0,"3,641",0,127,0,45,0,37,0,3,0,11,0,4.39,10.74,3.7
(V16) (598GD) Mena,"1,991","1,858",93.32%,133,6.68%,0,0,"1,849",0,9,0,8,0,13,0,14,0,98,0,13.47,0,1.74
(V16) (598GE) Pine Bluff,"2,692","2,597",96.47%,95,3.53%,0,0,"2,454",0,143,0,57,0,16,0,13,0,9,0,6.26,0,6.81
(V16) (598GF) Searcy,"2,492","2,430",97.51%,62,2.49%,0,0,"2,339",0,91,0,46,0,5,0,8,0,3,0,5.17,0.09,2.81
(V16) (598GG) Conway,"5,311","4,884",91.96%,427,8.04%,0,0,"4,667",0,217,0,223,0,127,0,68,0,9,0,5.7,13.93,2.31
(V16) (598GH) Russellville,"1,746","1,740",99.66%,6,0.34%,0,0,"1,729",0,11,0,3,0,0,0,2,0,1,0,1.4,0.86,0.37
"(V16) (623) Muskogee, OK","30,618","28,582",93.35%,"2,036",6.65%,4,44,"26,413",29,"2,169",12,"1,522",3,337,0,62,0,115,0,5.6,10.66,3.04
(V16) (623) Jack C Montgomery VAMC,"13,418","12,810",95.47%,608,4.53%,0,1,"11,768",1,"1,042",0,481,0,110,0,11,0,6,0,6.99,5.78,1.56
(V16) (623BY) Tulsa,"14,466","13,064",90.31%,"1,402",9.69%,0,43,"11,973",28,"1,091",12,"1,023",3,226,0,51,0,102,0,5.56,17.3,5.02
(V16) (623GA) Hartshorne,777,772,99.36%,5,0.64%,0,0,758,0,14,0,5,0,0,0,0,0,0,0,1.28,0,0.82
(V16) (623GB) Vinita,"1,957","1,936",98.93%,21,1.07%,0,0,"1,914",0,22,0,13,0,1,0,0,0,7,0,3.21,1.56,0.58
"(V16) (629) New Orleans, LA","42,680","40,149",94.07%,"2,531",5.93%,24,13,"35,295",8,"4,854",5,"1,839",0,617,0,55,0,20,0,5.92,10.33,6.65
(V16) (629BY) Baton Rouge,"7,103","6,730",94.75%,373,5.25%,0,1,"5,681",1,"1,049",0,253,0,97,0,22,0,1,0,6.2,10.1,10.45
(V16) (629GA) Houma,"1,206","1,119",92.79%,87,7.21%,0,0,971,0,148,0,79,0,7,0,1,0,0,0,10.94,5.58,6.51
(V16) (629GB) Hammond,"2,504","2,413",96.37%,91,3.63%,0,0,"2,237",0,176,0,36,0,52,0,2,0,1,0,6.86,5.41,4.72
(V16) (629GC) Slidell,"1,798","1,717",95.49%,81,4.51%,0,0,"1,558",0,159,0,41,0,38,0,1,0,1,0,8.55,10.29,2.18
(V16) (629GD) St. John,826,812,98.31%,14,1.69%,0,0,756,0,56,0,12,0,1,0,0,0,1,0,5.74,0.76,5.64
(V16) (629GE) Franklin,179,170,94.97%,9,5.03%,0,0,146,0,24,0,8,0,1,0,0,0,0,0,8.5,,6.04
(V16) (629GF) Bogalusa,289,286,98.96%,3,1.04%,0,1,273,1,13,0,3,0,0,0,0,0,0,0,4.08,,2.53
"(V16) (635) Oklahoma City, OK","53,421","50,466",94.47%,"2,955",5.53%,5,42,"47,931",21,"2,535",4,"1,769",9,761,5,288,1,137,2,2.35,9.14,3.28
(V16) (635) Oklahoma City VAMC,"43,253","40,421",93.45%,"2,832",6.55%,0,41,"38,241",20,"2,180",4,"1,667",9,752,5,283,1,130,2,2.5,9.2,3.73
(V16) (635GA) Lawton,"3,407","3,344",98.15%,63,1.85%,0,0,"3,139",0,205,0,55,0,7,0,0,0,1,0,4.14,6.94,2.52
(V16) (635GB) Wichita Falls,986,984,99.80%,2,0.20%,0,0,977,0,7,0,2,0,0,0,0,0,0,0,0.75,0.05,0.54
(V16) (635GC) Blackwell,203,202,99.51%,1,0.49%,0,0,202,0,0,0,1,0,0,0,0,0,0,0,0.21,12,1.17
(V16) (635GD) Ada,704,703,99.86%,1,0.14%,0,0,703,0,0,0,1,0,0,0,0,0,0,0,0.15,1.71,0.02
(V16) (635GE) Stillwater,351,350,99.72%,1,0.28%,0,0,322,0,28,0,1,0,0,0,0,0,0,0,4.29,6.4,1.91
(V16) (635GF) Altus,96,95,98.96%,1,1.04%,0,0,90,0,5,0,1,0,0,0,0,0,0,0,0,10.5,3.06
(V16) (635GG) Enid,742,729,98.25%,13,1.75%,0,0,720,0,9,0,7,0,0,0,1,0,5,0,2.73,0,5.67
(V16) (635HB) Ardmore,191,190,99.48%,1,0.52%,0,0,187,0,3,0,1,0,0,0,0,0,0,0,0.25,3.13,2.8
(V16) (635QB) South Oklahoma City,"3,488","3,448",98.85%,40,1.15%,0,1,"3,350",1,98,0,33,0,2,0,4,0,1,0,1.94,3.06,4.95
"(V16) (667) Shreveport, LA","47,449","44,922",94.67%,"2,527",5.33%,22,12,"42,164",11,"2,758",1,"1,514",0,616,0,214,0,183,0,6.43,8.06,2.87
(V16) (667) Overton Brooks VAMC,"38,747","36,569",94.38%,"2,178",5.62%,0,11,"34,271",10,"2,298",1,"1,231",0,562,0,212,0,173,0,6.65,8.36,2.52
(V16) (667GA) Texarkana,"2,986","2,736",91.63%,250,8.37%,0,0,"2,523",0,213,0,205,0,40,0,2,0,3,0,10.17,3.46,3.72
(V16) (667GB) Monroe,"3,196","3,156",98.75%,40,1.25%,0,0,"3,047",0,109,0,26,0,10,0,0,0,4,0,2.42,0.28,3.2
(V16) (667GC) Longview,"2,518","2,459",97.66%,59,2.34%,0,1,"2,321",1,138,0,52,0,4,0,0,0,3,0,6.13,2.07,3.27
(V16) (667MA) IDES Barksdale AFB,2,2,100.00%,0,0.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V17) (549) Dallas, TX","107,237","104,113",97.09%,"3,124",2.91%,158,87,"97,857",15,"6,256",8,"2,405",6,471,13,128,18,120,27,7.33,3.68,2.31
(V17) (549) Dallas VAMC,"74,254","72,339",97.42%,"1,915",2.58%,0,44,"68,806",9,"3,533",3,"1,460",4,271,3,78,4,106,21,7.72,3.38,0.76
"(V17) (549A4) Sam Rayburn Memorial
Veterans Center","7,749","7,551",97.44%,198,2.56%,0,19,"7,005",3,546,0,138,0,41,3,13,11,6,2,4.56,6,2.09
(V17) (549BY) Fort Worth VA Clinic,"18,584","17,835",95.97%,749,4.03%,0,14,"16,228",2,"1,607",4,613,0,97,3,31,1,8,4,6.99,4.77,5.17
(V17) (549GA) Tyler,48,47,97.92%,1,2.08%,0,1,44,1,3,0,1,0,0,0,0,0,0,0,,4.89,
(V17) (549GD) Denton,"1,719","1,700",98.89%,19,1.11%,0,7,"1,492",0,208,1,16,2,2,3,1,1,0,0,8.64,1.47,1.05
(V17) (549GE) Bridgeport,411,406,98.78%,5,1.22%,0,2,397,0,9,0,2,0,1,1,2,1,0,0,3.43,0,6.23
(V17) (549GF) Granbury,244,238,97.54%,6,2.46%,0,0,204,0,34,0,3,0,2,0,1,0,0,0,6.88,0,
(V17) (549GH) Greenville,349,347,99.43%,2,0.57%,0,0,325,0,22,0,2,0,0,0,0,0,0,0,4.7,0,3.19
(V17) (549GJ) Sherman,"1,173","1,130",96.33%,43,3.67%,0,0,979,0,151,0,39,0,4,0,0,0,0,0,9.15,3.2,3.01
(V17) (549GL) Plano,"1,040","1,027",98.75%,13,1.25%,0,0,996,0,31,0,10,0,2,0,1,0,0,0,3.09,0,0.94
(V17) (549QC) Broadway,"1,666","1,493",89.62%,173,10.38%,0,0,"1,381",0,112,0,121,0,51,0,1,0,0,0,15.63,0.98,1.11
"(V17) (671) San Antonio, TX","100,043","91,817",91.78%,"8,226",8.22%,6,4,"85,531",4,"6,286",0,"4,646",0,"2,098",0,935,0,547,0,5.65,11.63,2.87
"(V17) (671) Audie L Murphy Memorial
Veterans Hospital","63,919","57,267",89.59%,"6,652",10.41%,0,3,"52,829",3,"4,438",0,"3,496",0,"1,835",0,839,0,482,0,7.6,11.74,2.37
(V17) (671A4) Kerrville VAMC,"8,077","7,609",94.21%,468,5.79%,0,1,"7,268",1,341,0,311,0,124,0,27,0,6,0,4.45,8.76,1.59
(V17) (671BU) San Antonio Domiciliary,109,107,98.17%,2,1.83%,0,0,86,0,21,0,0,0,2,0,0,0,0,0,,,6.59
(V17) (671BY) Frank M Tejeda VA OPC,"13,432","12,890",95.96%,542,4.04%,0,0,"12,171",0,719,0,472,0,28,0,13,0,29,0,3.17,17.29,3.28
(V17) (671GB) Victoria,"2,943","2,902",98.61%,41,1.39%,0,0,"2,791",0,111,0,30,0,2,0,2,0,7,0,3.97,3.56,2.99
(V17) (671GH) Beeville,173,173,100.00%,0,0.00%,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,,
(V17) (671GK) San Antonio,"3,089","3,085",99.87%,4,0.13%,0,0,"3,023",0,62,0,3,0,0,0,1,0,0,0,1.91,,
(V17) (671GL) New Braunfels VA Clinic,579,552,95.34%,27,4.66%,0,0,392,0,160,0,26,0,0,0,1,0,0,0,10.87,,
(V17) (671GN) Seguin,318,318,100.00%,0,0.00%,0,0,317,0,1,0,0,0,0,0,0,0,0,0,0.81,,
"(V17) (671GO) North Central Federal VA
Clinic","5,571","5,325",95.58%,246,4.42%,0,0,"5,054",0,271,0,153,0,53,0,26,0,14,0,5.66,1.5,2.99
"(V17) (674) Temple, TX","107,388","99,503",92.66%,"7,885",7.34%,10,98,"92,610",21,"6,893",3,"5,279",19,"1,381",13,355,8,870,34,8.43,7.84,4.42
"(V17) (674) Olin E Teague Veterans
Center","63,267","58,460",92.40%,"4,807",7.60%,0,70,"54,677",9,"3,783",3,"3,566",15,852,11,212,7,177,25,9.8,7.76,4.85
(V17) (6749AA) VANURS Temple,0,0,0.00%,0,0.00%,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,
(V17) (674A4) Doris Miller VAMC,"6,795","6,526",96.04%,269,3.96%,0,7,"6,068",2,458,0,233,1,25,1,4,1,7,2,5.22,7.17,2.8
(V17) (674BY) Austin,"25,523","23,761",93.10%,"1,762",6.90%,0,19,"21,672",10,"2,089",0,"1,217",3,443,1,52,0,50,5,9.5,8.14,3.32
(V17) (674GA) Palestine,916,913,99.67%,3,0.33%,0,0,890,0,23,0,2,0,1,0,0,0,0,0,3.14,14,2.41
(V17) (674GB) Brownwood,"1,504","1,483",98.60%,21,1.40%,0,0,"1,425",0,58,0,11,0,2,0,1,0,7,0,3.57,7.46,4.55
(V17) (674GC) Bryan,"5,711","4,852",84.96%,859,15.04%,0,0,"4,694",0,158,0,102,0,51,0,84,0,622,0,2.98,18.44,9.65
(V17) (674GD) Cedar Park,"3,436","3,283",95.55%,153,4.45%,0,0,"2,984",0,299,0,138,0,6,0,2,0,7,0,6.25,9.69,2.88
(V17) (674HB) LaGrange,236,225,95.34%,11,4.66%,0,1,200,0,25,0,10,0,1,0,0,0,0,1,5.74,18.14,25.25
(V17) (740) VA Texas Valley Coastal Bend HCS,"20,921","18,606",88.93%,"2,315",11.07%,123,501,"16,743",51,"1,863",33,"1,341",79,735,3,92,6,147,329,17.31,13.17,3.06
(V17) (740) Harlingen VA Clinic,"5,129","4,667",90.99%,462,9.01%,0,262,"4,341",7,326,6,224,7,112,1,37,2,89,239,10.67,12.69,3.56
(V17) (740GA) Harlingen,"3,851","3,218",83.56%,633,16.44%,0,92,"2,840",0,378,1,502,1,69,0,23,0,39,90,18.57,19.32,2.64
(V17) (740GB) McAllen,"4,315","4,229",98.01%,86,1.99%,0,49,"3,685",3,544,12,73,32,12,2,1,0,0,0,7.17,6.98,3.13
(V17) (740GC) Corpus Christi,"6,113","5,003",81.84%,"1,110",18.16%,0,92,"4,435",39,568,13,522,37,541,0,30,3,17,0,31.85,13.29,3.88
(V17) (740GD) Laredo,"1,513","1,489",98.41%,24,1.59%,0,6,"1,442",2,47,1,20,2,1,0,1,1,2,0,4.54,2.41,1.43
(V18) (501) New Mexico HCS,"53,671","49,835",92.85%,"3,836",7.15%,8,81,"45,663",11,"4,172",3,"2,102",8,961,10,493,4,280,45,8.16,9.13,9.25
(V18) (501) Raymond G Murphy VAMC,"44,528","41,134",92.38%,"3,394",7.62%,0,77,"37,556",8,"3,578",3,"1,823",7,812,10,483,4,276,45,10.8,8.93,10.73
(V18) (501G2) Las Vegas,527,494,93.74%,33,6.26%,0,0,459,0,35,0,27,0,4,0,2,0,0,0,8.75,0,6.11
(V18) (501GA) Artesia,500,476,95.20%,24,4.80%,0,0,441,0,35,0,21,0,1,0,1,0,1,0,5.82,0,12.04
(V18) (501GB) Farmington,"1,401","1,346",96.07%,55,3.93%,0,0,"1,215",0,131,0,35,0,20,0,0,0,0,0,7.52,0,4.36
(V18) (501GC) Silver City,307,306,99.67%,1,0.33%,0,0,291,0,15,0,1,0,0,0,0,0,0,0,3.33,0,4.92
(V18) (501GD) Gallup NM,512,501,97.85%,11,2.15%,0,0,497,0,4,0,9,0,2,0,0,0,0,0,1.47,0,6.27
(V18) (501GE) Espanola,399,392,98.25%,7,1.75%,0,0,388,0,4,0,4,0,1,0,2,0,0,0,1.9,0,2.41
(V18) (501GH) Truth or Consequences,237,237,100.00%,0,0.00%,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0.08,,0
(V18) (501GI) Alamogordo,614,607,98.86%,7,1.14%,0,1,564,1,43,0,4,0,2,0,0,0,1,0,5.55,0,21.55
(V18) (501GJ) Durango,713,707,99.16%,6,0.84%,0,0,706,0,1,0,4,0,2,0,0,0,0,0,0.34,0,1.15
(V18) (501GK) Santa Fe,831,800,96.27%,31,3.73%,0,1,743,1,57,0,13,0,18,0,0,0,0,0,3.49,3.6,8.31
(V18) (501GM) Northwest Metro VA Clinic,"2,883","2,620",90.88%,263,9.12%,0,2,"2,368",1,252,0,158,1,98,0,5,0,2,0,4.83,16,9.17
(V18) (501GN) Taos,2,2,100.00%,0,0.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,
(V18) (501HB) Raton,217,213,98.16%,4,1.84%,0,0,196,0,17,0,3,0,1,0,0,0,0,0,4.49,0,1.1
"(V18) (504) Amarillo, TX","21,553","17,682",82.04%,"3,871",17.96%,14,234,"16,005",77,"1,677",50,"2,243",33,939,31,383,19,306,24,19.47,21.52,8.72
(V18) (504) Thomas E Creek VAMC,"14,957","12,158",81.29%,"2,799",18.71%,0,165,"10,895",47,"1,263",48,"1,689",26,698,16,205,10,207,18,22.72,21.32,4.58
(V18) (504BY) Lubbock TX,"6,003","4,940",82.29%,"1,063",17.71%,0,68,"4,555",30,385,2,547,7,241,14,176,9,99,6,14.26,22.28,18.92
(V18) (504BZ) Clovis,513,506,98.64%,7,1.36%,0,1,485,0,21,0,5,0,0,1,2,0,0,0,5.84,6,2.26
(V18) (504GA) Childress,45,44,97.78%,1,2.22%,0,0,42,0,2,0,1,0,0,0,0,0,0,0,4.38,,0
(V18) (504HB) Dalhart,35,34,97.14%,1,2.86%,0,0,28,0,6,0,1,0,0,0,0,0,0,0,10.48,9,3.75
"(V18) (519) Big Spring, TX","10,173","9,592",94.29%,581,5.71%,11,13,"8,722",2,870,3,484,4,82,4,6,0,9,0,6.1,10.38,5.46
(V18) (519) George H OBrien Jr VAMC,"4,353","4,107",94.35%,246,5.65%,0,3,"3,734",0,373,2,214,0,27,1,4,0,1,0,6.97,9.62,3.36
(V18) (519GA) Permian Basin,"1,073","1,019",94.97%,54,5.03%,0,1,909,1,110,0,49,0,3,0,1,0,1,0,5.14,14.89,4.12
(V18) (519GB) Hobbs,203,192,94.58%,11,5.42%,0,0,190,0,2,0,9,0,1,0,0,0,1,0,7.64,,5.81
(V18) (519GD) Fort Stockton,40,37,92.50%,3,7.50%,0,0,31,0,6,0,3,0,0,0,0,0,0,0,8.7,,
(V18) (519HC) Abilene,"2,579","2,391",92.71%,188,7.29%,0,3,"2,099",1,292,0,144,2,41,0,1,0,2,0,7.3,12.15,9.61
(V18) (519HD) Stamford,9,9,100.00%,0,0.00%,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4.56,,
(V18) (519HF) San Angelo,"1,916","1,837",95.88%,79,4.12%,0,6,"1,750",0,87,1,65,2,10,3,0,0,4,0,4.91,4.55,5.93
"(V18) (644) Phoenix, AZ","89,593","81,287",90.73%,"8,306",9.27%,2,460,"75,947",42,"5,340",61,"5,461",105,"1,764",65,669,28,412,159,8.92,11.28,4
(V18) (644) Carl T Hayden VAMC,"63,075","56,970",90.32%,"6,105",9.68%,0,383,"53,102",42,"3,868",61,"4,114",105,"1,233",65,466,22,292,88,9.17,10.17,3.93
