Organization,Specialty,FY11,FY12,FY13,FY14,FY15,ID
(V01) (689) HCS WEST HAVEN CT,35 CLINICAL SCHOLAR-RWJ,0.2963,0.5714,0.6316,0.2667,0.5143,
(V01) (689) HCS WEST HAVEN CT,36 PREVENTIVE MEDICINE,1,-,-,-,-,
(V01) (689) HCS WEST HAVEN CT,38 RADIOLOGY-DIAGNOSTIC,0.0889,-,-,-,0.0851,
(V01) (689) HCS WEST HAVEN CT,40 GERIATRICS,-,0.1237,0.1277,0.1348,-,
(V01) (689) HCS WEST HAVEN CT,43 PATHOLOGY,-,0.2143,0.2553,-,-,
(V01) (689) HCS WEST HAVEN CT,44 PHYS MED & REHAB,-,-,-,0.25,-,
(V01) (689) HCS WEST HAVEN CT,47 RESEARCH-CAREER DEV,0.75,-,-,-,-,
(V01) (689) HCS WEST HAVEN CT,E4 CARDIOVAS/THOR SGR,0.5455,-,-,-,-,
(V01) (689) HCS WEST HAVEN CT,E5 NEUROSURGERY,-,-,-,-,0.5,
(V01) (689) HCS WEST HAVEN CT,E6 CARDIOLOGY NON-INTER,-,-,-,0.1348,-,
(V01) (689) HCS WEST HAVEN CT,H1 PSYCHIATRY FELW,0.878,0.3077,0.3,0.3429,0.3243,
(V01) (689) HCS WEST HAVEN CT,H2 SCHIZO RESEARCH FELW,-,-,0.2553,0.8108,-,
(V01) (689) HCS WEST HAVEN CT,H9 WOMEN VETS HLTH FELW,-,1.5,-,-,-,
(V01) (689) HCS WEST HAVEN CT,M5 MEDINFO POSTDOC FELW,-,1,-,-,-,
(V01) (689) HCS WEST HAVEN CT,P1 PRIMARY CARE,-,0.027,0.0276,0.0608,-,
(V01) (689) HCS WEST HAVEN CT,R4 VASCULAR SURGERY,-,-,-,-,0.48,
V02,0602 Physician (All Specialties),0.0958,0.0752,0.0916,0.1,0.0705,
V02,01 ANESTHESIOLOGY,-,0.1951,0.0456,0.1818,0.0379,
V02,02 SURGERY,0.1791,-,0.0909,-,0.08,
V02,03 GYNECOLOGY,-,-,-,0.3636,-,
V02,05 MEDICAL ONCOLOGY,0.3636,-,0.4138,-,-,
V02,06 OPHTHALMOLOGY,0.103,0.1004,0.1053,0.2233,0.1731,
V02,07 ORTHOPEDIC SURGERY,0.1143,-,0.2376,0.2963,0.2727,
V02,08 OTOLARYNGOLOGY,0.2105,-,0.24,0.2308,-,
V02,09 PLASTIC SURGERY,-,-,-,0.9231,-,
V02,10 COLON & RECTAL SURG,-,-,1,-,-,
V02,11 THORACIC SURGERY,0.5217,-,-,-,0.4444,
V02,12 UROLOGY,0.0719,-,0.0663,0.1194,0.1188,
V02,16 EMERGENCY MEDICINE,0.0816,0.0755,-,-,0.0723,
V02,18 HEMATOLOGY,0.1791,-,-,-,0.2182,
V02,19 INFECTIOUS DISEASES,0.125,-,-,-,-,
V02,20 DERMATOLOGY,0.3333,0.5714,0.5714,0.5714,-,
V02,21 GEN INTERNAL MED,0.1264,0.0491,-,0.1242,0.1237,
V02,25 GASTROENTEROLOGY,0.2824,0.2791,0.3711,-,0.1154,
V02,26 PULMONARY DISEASES,-,-,-,0.0909,-,
V02,27 NEPHROLOGY,-,-,0.1111,0.1154,0.1165,
V02,28 RHEUMATOLOGY,-,-,0.24,0.2222,-,
V02,29 ENDOCRIN AND METAB,-,0.1481,-,-,0.1644,
V02,30 NEUROLOGY,0.0833,-,-,0.0828,0.0833,
V02,31 PSYCHIATRY,0.1125,0.1059,0.1617,0.0898,0.0343,
V02,38 RADIOLOGY-DIAGNOSTIC,0.0513,0.1463,0.375,-,0.0656,
V02,40 GERIATRICS,-,0.1,0.0833,0.0674,0.08,
V02,43 PATHOLOGY,-,0.1008,-,-,-,
V02,44 PHYS MED & REHAB,-,0.1805,-,-,-,
V02,45 RADIOLOGY-INTERVENT,0.2143,-,0.2034,-,-,
V02,46 NUCLEAR MEDICINE,-,-,-,0.3636,0.5,
V02,49 FAMILY PRACTICE,0.0952,0.0805,0.1875,0.1644,-,
V02,51 CHIEF OF STAFF,-,-,-,0.24,-,
V02,54 ASSOC COS RES & DEV,1,-,-,0.5714,-,
V02,55 DIRECTOR,-,-,-,1,-,
V02,CA CARDIOLOGY NON-INVAS,-,-,-,-,0.2195,
V02,E5 NEUROSURGERY,-,1,-,-,-,
V02,E6 CARDIOLOGY NON-INTER,-,-,0.0645,-,-,
V02,K6 HOSPITALIST,0.1951,0.0714,0.0645,0.1231,-,
V02,M9 CARDIOLOGY-INTERVEN,0.5581,0.4444,-,-,-,
V02,P1 PRIMARY CARE,-,0.0863,0.0896,0.0839,0.1008,
V02,R3 HEMATOLOGY/ONCOLOGY,-,-,-,-,0.3,
V02,R4 VASCULAR SURGERY,-,-,0.3243,-,-,
(V02) (479) V2HCNALBANY NY,0602 Physician (All Specialties),-,-,-,0.8,-,528al
(V02) (479) V2HCNALBANY NY,55 DIRECTOR,-,-,-,1,-,528al
(V02) (528) HCS BUFFALO NY,0602 Physician (All Specialties),0.0962,0.0756,0.092,0.0981,0.0707,528we
(V02) (528) HCS BUFFALO NY,01 ANESTHESIOLOGY,-,0.1951,0.0456,0.1818,0.0379,528we
(V02) (528) HCS BUFFALO NY,02 SURGERY,0.1967,-,0.1,-,0.087,528we
(V02) (528) HCS BUFFALO NY,03 GYNECOLOGY,-,-,-,0.3636,-,528we
(V02) (528) HCS BUFFALO NY,05 MEDICAL ONCOLOGY,0.3636,-,0.4138,-,-,528we
(V02) (528) HCS BUFFALO NY,06 OPHTHALMOLOGY,0.103,0.1004,0.1053,0.2233,0.1731,528we
(V02) (528) HCS BUFFALO NY,07 ORTHOPEDIC SURGERY,0.1143,-,0.2376,0.2963,0.2727,528we
(V02) (528) HCS BUFFALO NY,08 OTOLARYNGOLOGY,0.2105,-,0.24,0.2308,-,528we
(V02) (528) HCS BUFFALO NY,09 PLASTIC SURGERY,-,-,-,0.9231,-,528we
(V02) (528) HCS BUFFALO NY,10 COLON & RECTAL SURG,-,-,1,-,-,528we
(V02) (528) HCS BUFFALO NY,11 THORACIC SURGERY,0.5217,-,-,-,0.4444,528we
(V02) (528) HCS BUFFALO NY,12 UROLOGY,0.0719,-,0.0663,0.1194,0.1188,528we
(V02) (528) HCS BUFFALO NY,16 EMERGENCY MEDICINE,0.0816,0.0755,-,-,0.0723,528we
(V02) (528) HCS BUFFALO NY,18 HEMATOLOGY,0.1791,-,-,-,0.2182,528we
(V02) (528) HCS BUFFALO NY,19 INFECTIOUS DISEASES,0.125,-,-,-,-,528we
(V02) (528) HCS BUFFALO NY,20 DERMATOLOGY,0.3333,0.5714,0.5714,0.5714,-,528we
(V02) (528) HCS BUFFALO NY,21 GEN INTERNAL MED,0.1264,0.0491,-,0.1242,0.1237,528we
(V02) (528) HCS BUFFALO NY,25 GASTROENTEROLOGY,0.2824,0.2791,0.3711,-,0.1154,528we
(V02) (528) HCS BUFFALO NY,26 PULMONARY DISEASES,-,-,-,0.0909,-,528we
(V02) (528) HCS BUFFALO NY,27 NEPHROLOGY,-,-,0.1111,0.1154,0.1165,528we
(V02) (528) HCS BUFFALO NY,28 RHEUMATOLOGY,-,-,0.24,0.2222,-,528we
(V02) (528) HCS BUFFALO NY,29 ENDOCRIN AND METAB,-,0.1481,-,-,0.1644,528we
(V02) (528) HCS BUFFALO NY,30 NEUROLOGY,0.0833,-,-,0.0828,0.0833,528we
(V02) (528) HCS BUFFALO NY,31 PSYCHIATRY,0.1125,0.1059,0.1617,0.0898,0.0343,528we
(V02) (528) HCS BUFFALO NY,38 RADIOLOGY-DIAGNOSTIC,0.0513,0.1463,0.375,-,0.0656,528we
(V02) (528) HCS BUFFALO NY,40 GERIATRICS,-,0.1,0.0833,0.0674,0.08,528we
(V02) (528) HCS BUFFALO NY,43 PATHOLOGY,-,0.1008,-,-,-,528we
(V02) (528) HCS BUFFALO NY,44 PHYS MED & REHAB,-,0.1805,-,-,-,528we
(V02) (528) HCS BUFFALO NY,45 RADIOLOGY-INTERVENT,0.2143,-,0.2034,-,-,528we
(V02) (528) HCS BUFFALO NY,46 NUCLEAR MEDICINE,-,-,-,0.3636,0.5,528we
(V02) (528) HCS BUFFALO NY,49 FAMILY PRACTICE,0.0952,0.0805,0.1875,0.1644,-,528we
(V02) (528) HCS BUFFALO NY,51 CHIEF OF STAFF,-,-,-,0.24,-,528we
(V02) (528) HCS BUFFALO NY,54 ASSOC COS RES & DEV,1,-,-,0.5714,-,528we
(V02) (528) HCS BUFFALO NY,CA CARDIOLOGY NON-INVAS,-,-,-,-,0.2195,528we
(V02) (528) HCS BUFFALO NY,E5 NEUROSURGERY,-,1,-,-,-,528we
(V02) (528) HCS BUFFALO NY,E6 CARDIOLOGY NON-INTER,-,-,0.0645,-,-,528we
(V02) (528) HCS BUFFALO NY,K6 HOSPITALIST,0.1951,0.0714,0.0645,0.1231,-,528we
(V02) (528) HCS BUFFALO NY,M9 CARDIOLOGY-INTERVEN,0.5581,0.4444,-,-,-,528we
(V02) (528) HCS BUFFALO NY,P1 PRIMARY CARE,-,0.0863,0.0896,0.0839,0.1008,528we
(V02) (528) HCS BUFFALO NY,R3 HEMATOLOGY/ONCOLOGY,-,-,-,-,0.3,528we
(V02) (528) HCS BUFFALO NY,R4 VASCULAR SURGERY,-,-,0.3243,-,-,
V03,0602 Physician (All Specialties),0.0674,0.0706,0.0543,0.0648,0.0849,
V03,01 ANESTHESIOLOGY,0.1039,0.0788,0.0789,0.0526,0.125,
V03,02 SURGERY,0.1143,0.0374,0.0684,0.1813,0.1538,
V03,03 GYNECOLOGY,0.2857,0.3871,-,-,0.3934,
V03,05 MEDICAL ONCOLOGY,-,0.2182,-,-,-,
V03,06 OPHTHALMOLOGY,0.1055,0.1069,-,0.0508,0.0748,
V03,07 ORTHOPEDIC SURGERY,0.0779,0.075,-,0.1326,-,
V03,08 OTOLARYNGOLOGY,0.1579,-,0.1791,-,-,
V03,09 PLASTIC SURGERY,0.3288,-,-,-,0.3333,
V03,11 THORACIC SURGERY,-,-,0.2667,-,-,
V03,12 UROLOGY,-,0.1752,0.15,-,0.1233,
V03,16 EMERGENCY MEDICINE,-,0.0526,-,0.0497,0.1725,
V03,18 HEMATOLOGY,0.1116,0.1159,0.1237,0.0678,-,
V03,19 INFECTIOUS DISEASES,-,-,0.15,0.087,-,
V03,20 DERMATOLOGY,0.0615,0.0594,-,0.0545,-,
V03,21 GEN INTERNAL MED,0.0675,0.0698,0.0339,0.0573,0.0554,
V03,23 ALLERGY & IMMUNOLOGY,-,-,-,-,0.2667,
V03,25 GASTROENTEROLOGY,0.2043,0.1698,-,0.1127,0.1565,
V03,26 PULMONARY DISEASES,-,0.0721,0.0368,-,-,
V03,27 NEPHROLOGY,0.1004,-,0.0541,0.0536,0.1682,
V03,28 RHEUMATOLOGY,-,-,-,-,0.1053,
V03,29 ENDOCRIN AND METAB,-,0.0805,-,0.0833,0.0896,
V03,30 NEUROLOGY,0.0609,0.0312,0.0315,0.06,-,
V03,31 PSYCHIATRY,0.029,0.0728,0.0776,0.0847,0.1179,
V03,38 RADIOLOGY-DIAGNOSTIC,0.071,0.0351,-,0.0386,-,
V03,39 RADIOLOGY-THERAPEU,0.25,-,-,-,-,
V03,40 GERIATRICS,-,0.1429,-,-,0.0805,
V03,43 PATHOLOGY,-,0.0857,0.0784,0.2143,0.2182,
V03,44 PHYS MED & REHAB,0.0774,0.0781,0.1667,0.0263,0.0256,
V03,45 RADIOLOGY-INTERVENT,0.4444,-,-,-,-,
V03,46 NUCLEAR MEDICINE,0.1132,-,-,-,-,
V03,49 FAMILY PRACTICE,-,0.125,0.192,0.1091,0.1212,
V03,51 CHIEF OF STAFF,-,-,-,-,0.1765,
V03,53 ASSOC CH/STAFF--EDUC,-,-,-,0.8571,-,
V03,E3 ACOS MEN HLTH/BEH SC,-,0.3871,-,-,-,
V03,E6 CARDIOLOGY NON-INTER,0.0488,0.0515,-,0.0541,0.1096,
V03,E7 RADIOLOGY (NUCLEAR),1,-,-,-,-,
V03,G9 RADIATION ONCOLOGY,-,-,-,-,0.4615,
V03,H1 PSYCHIATRY FELW,-,0.7059,-,0.8,-,
V03,H4 PALL CARE MED FELLOW,1.5,0.7857,0.4286,1.3333,0.7273,
V03,P1 PRIMARY CARE,-,-,0.2069,-,0.1644,
V03,P3 CHIEF MED OFCR VISN,1,-,-,-,-,
V03,R3 HEMATOLOGY/ONCOLOGY,-,-,-,0.24,0.1935,
V03,R4 VASCULAR SURGERY,0.3077,-,0.3636,0.2105,-,
(V03) (480) V3HCNNEW YORK NY,0602 Physician (All Specialties),0.3529,-,-,-,-,
(V03) (480) V3HCNNEW YORK NY,P3 CHIEF MED OFCR VISN,1,-,-,-,-,
(V03) (526) MC BRONX NY,0602 Physician (All Specialties),0.1075,0.0885,0.054,0.0509,0.0874,
(V03) (526) MC BRONX NY,01 ANESTHESIOLOGY,0.3077,0.3582,0.1429,-,-,
(V03) (526) MC BRONX NY,02 SURGERY,0.507,-,-,-,0.4068,
(V03) (526) MC BRONX NY,03 GYNECOLOGY,-,-,-,-,1,
(V03) (526) MC BRONX NY,06 OPHTHALMOLOGY,-,0.0857,-,-,-,
(V03) (526) MC BRONX NY,07 ORTHOPEDIC SURGERY,0.1935,-,-,0.32,-,
(V03) (526) MC BRONX NY,08 OTOLARYNGOLOGY,0.2222,-,-,-,-,
(V03) (526) MC BRONX NY,12 UROLOGY,-,-,1.5,-,0.24,
(V03) (526) MC BRONX NY,16 EMERGENCY MEDICINE,-,-,-,-,0.3288,
(V03) (526) MC BRONX NY,18 HEMATOLOGY,0.3243,0.3429,0.3636,-,-,
(V03) (526) MC BRONX NY,21 GEN INTERNAL MED,0.1375,0.1524,0.0396,-,0.0355,
(V03) (526) MC BRONX NY,25 GASTROENTEROLOGY,0.2609,-,-,-,-,
(V03) (526) MC BRONX NY,27 NEPHROLOGY,-,-,-,-,0.1237,
(V03) (526) MC BRONX NY,29 ENDOCRIN AND METAB,-,0.375,-,-,-,
(V03) (526) MC BRONX NY,31 PSYCHIATRY,-,0.0848,0.041,0.0381,0.1505,
(V03) (526) MC BRONX NY,38 RADIOLOGY-DIAGNOSTIC,0.4615,-,-,-,-,
(V03) (526) MC BRONX NY,39 RADIOLOGY-THERAPEU,0.3333,-,-,-,-,
(V03) (526) MC BRONX NY,43 PATHOLOGY,-,-,0.2667,0.2034,0.4444,
(V03) (526) MC BRONX NY,44 PHYS MED & REHAB,0.0952,0.1875,0.192,0.0976,-,
(V03) (526) MC BRONX NY,45 RADIOLOGY-INTERVENT,0.4444,-,-,-,-,
(V03) (526) MC BRONX NY,H1 PSYCHIATRY FELW,-,0.7059,-,0.8,-,
(V03) (526) MC BRONX NY,H4 PALL CARE MED FELLOW,1.5,0.7857,0.4286,1.3333,0.7273,
(V03) (526) MC BRONX NY,P1 PRIMARY CARE,-,-,-,-,0.1101,
(V03) (526) MC BRONX NY,R3 HEMATOLOGY/ONCOLOGY,-,-,-,-,0.6,
(V03) (526) MC BRONX NY,R4 VASCULAR SURGERY,-,-,-,1,-,
(V03) (561) HCS EAST ORANGE NJ,0602 Physician (All Specialties),0.0199,0.0504,0.0298,0.0537,0.0792,
(V03) (561) HCS EAST ORANGE NJ,01 ANESTHESIOLOGY,-,-,-,-,0.3117,
(V03) (561) HCS EAST ORANGE NJ,02 SURGERY,-,-,-,0.2791,-,
(V03) (561) HCS EAST ORANGE NJ,03 GYNECOLOGY,-,-,-,-,0.6667,
(V03) (561) HCS EAST ORANGE NJ,06 OPHTHALMOLOGY,-,1,-,-,-,
(V03) (561) HCS EAST ORANGE NJ,09 PLASTIC SURGERY,-,-,-,-,0.5714,
(V03) (561) HCS EAST ORANGE NJ,11 THORACIC SURGERY,-,-,1,-,-,
(V03) (561) HCS EAST ORANGE NJ,16 EMERGENCY MEDICINE,-,0.1017,-,0.087,0.0952,
(V03) (561) HCS EAST ORANGE NJ,18 HEMATOLOGY,-,-,-,0.2105,-,
(V03) (561) HCS EAST ORANGE NJ,19 INFECTIOUS DISEASES,-,-,-,1,-,
(V03) (561) HCS EAST ORANGE NJ,21 GEN INTERNAL MED,0.0311,0.0324,0.0152,0.0323,0.0503,
(V03) (561) HCS EAST ORANGE NJ,25 GASTROENTEROLOGY,-,0.5854,-,-,-,
(V03) (561) HCS EAST ORANGE NJ,27 NEPHROLOGY,0.4138,-,-,-,0.5217,
(V03) (561) HCS EAST ORANGE NJ,28 RHEUMATOLOGY,-,-,-,-,1,
(V03) (561) HCS EAST ORANGE NJ,31 PSYCHIATRY,0.0302,0.0301,0.0627,0.0619,0.0863,
(V03) (561) HCS EAST ORANGE NJ,38 RADIOLOGY-DIAGNOSTIC,-,0.0896,-,-,-,
(V03) (561) HCS EAST ORANGE NJ,40 GERIATRICS,-,-,-,-,0.1765,
(V03) (561) HCS EAST ORANGE NJ,43 PATHOLOGY,-,-,-,0.5217,-,
(V03) (561) HCS EAST ORANGE NJ,49 FAMILY PRACTICE,-,0.3333,0.4706,0.6667,-,
(V03) (561) HCS EAST ORANGE NJ,53 ASSOC CH/STAFF--EDUC,-,-,-,0.8571,-,
(V03) (561) HCS EAST ORANGE NJ,E3 ACOS MEN HLTH/BEH SC,-,0.5455,-,-,-,
(V03) (561) HCS EAST ORANGE NJ,E6 CARDIOLOGY NON-INTER,-,-,-,-,0.4444,
(V03) (561) HCS EAST ORANGE NJ,G9 RADIATION ONCOLOGY,-,-,-,-,0.3871,
(V03) (620) HCS MONTROSE NY,0602 Physician (All Specialties),0.1084,0.0979,0.1085,0.1303,0.1513,
(V03) (620) HCS MONTROSE NY,01 ANESTHESIOLOGY,1,-,-,-,0.5217,
(V03) (620) HCS MONTROSE NY,02 SURGERY,-,-,0.5714,1,-,
(V03) (620) HCS MONTROSE NY,21 GEN INTERNAL MED,0.1029,0.1053,0.0674,0.1609,0.2988,
(V03) (620) HCS MONTROSE NY,25 GASTROENTEROLOGY,1,-,-,-,-,
(V03) (620) HCS MONTROSE NY,30 NEUROLOGY,1,-,-,1,-,
(V03) (620) HCS MONTROSE NY,31 PSYCHIATRY,0.0456,0.0455,0.086,0.1314,0.0857,
(V03) (620) HCS MONTROSE NY,38 RADIOLOGY-DIAGNOSTIC,0.4444,-,-,-,-,
(V03) (620) HCS MONTROSE NY,40 GERIATRICS,-,1,-,-,-,
(V03) (620) HCS MONTROSE NY,43 PATHOLOGY,-,1,-,0.8571,-,
(V03) (620) HCS MONTROSE NY,44 PHYS MED & REHAB,-,0.2667,0.75,-,-,
(V03) (620) HCS MONTROSE NY,49 FAMILY PRACTICE,-,-,-,-,0.4444,
(V03) (620) HCS MONTROSE NY,E6 CARDIOLOGY NON-INTER,-,0.4138,-,-,0.3158,
(V03) (620) HCS MONTROSE NY,E7 RADIOLOGY (NUCLEAR),1,-,-,-,-,
(V03) (620) HCS MONTROSE NY,P1 PRIMARY CARE,-,-,1.2632,-,0.2667,
(V03) (630) HCS NEW YORK NY,0602 Physician (All Specialties),0.0605,0.0746,0.0654,0.0717,0.0662,
(V03) (630) HCS NEW YORK NY,01 ANESTHESIOLOGY,0.0558,0.0571,0.1244,0.1206,0.0561,
(V03) (630) HCS NEW YORK NY,02 SURGERY,-,0.0741,0.0659,0.2093,0.0723,
(V03) (630) HCS NEW YORK NY,06 OPHTHALMOLOGY,0.1371,0.1569,-,0.0755,0.1429,
(V03) (630) HCS NEW YORK NY,08 OTOLARYNGOLOGY,0.1935,-,0.4706,-,-,
(V03) (630) HCS NEW YORK NY,12 UROLOGY,-,0.2667,0.0976,-,0.0916,
(V03) (630) HCS NEW YORK NY,16 EMERGENCY MEDICINE,-,0.055,-,0.0533,0.2,
(V03) (630) HCS NEW YORK NY,18 HEMATOLOGY,0.1132,0.12,0.1364,-,-,
(V03) (630) HCS NEW YORK NY,19 INFECTIOUS DISEASES,-,-,0.169,-,-,
(V03) (630) HCS NEW YORK NY,20 DERMATOLOGY,0.1379,0.1364,-,0.1364,-,
(V03) (630) HCS NEW YORK NY,21 GEN INTERNAL MED,0.0656,0.0843,0.0504,0.0484,0.0151,
(V03) (630) HCS NEW YORK NY,25 GASTROENTEROLOGY,0.2581,0.1379,-,0.3288,0.4337,
(V03) (630) HCS NEW YORK NY,26 PULMONARY DISEASES,-,0.2,-,-,-,
(V03) (630) HCS NEW YORK NY,27 NEPHROLOGY,-,-,0.1538,0.169,-,
(V03) (630) HCS NEW YORK NY,29 ENDOCRIN AND METAB,-,-,-,-,0.4615,
(V03) (630) HCS NEW YORK NY,30 NEUROLOGY,0.0714,0.0727,0.0784,0.0723,-,
(V03) (630) HCS NEW YORK NY,31 PSYCHIATRY,0.0257,0.0744,0.1198,0.1002,0.1263,
(V03) (630) HCS NEW YORK NY,38 RADIOLOGY-DIAGNOSTIC,-,-,-,0.1446,-,
(V03) (630) HCS NEW YORK NY,44 PHYS MED & REHAB,0.0902,-,0.0968,-,0.1101,
(V03) (630) HCS NEW YORK NY,E6 CARDIOLOGY NON-INTER,0.1053,-,-,0.1176,-,
(V03) (630) HCS NEW YORK NY,R4 VASCULAR SURGERY,1,-,-,-,-,
(V03) (632) MC NORTHPORT L I NY,0602 Physician (All Specialties),0.0668,0.0523,0.0361,0.0483,0.0906,
(V03) (632) MC NORTHPORT L I NY,01 ANESTHESIOLOGY,-,-,-,-,0.1765,
(V03) (632) MC NORTHPORT L I NY,02 SURGERY,-,-,-,-,0.2857,
(V03) (632) MC NORTHPORT L I NY,03 GYNECOLOGY,0.6667,1,-,-,-,
(V03) (632) MC NORTHPORT L I NY,05 MEDICAL ONCOLOGY,-,0.2791,-,-,-,
(V03) (632) MC NORTHPORT L I NY,06 OPHTHALMOLOGY,0.1765,-,-,0.0764,0.0764,
(V03) (632) MC NORTHPORT L I NY,07 ORTHOPEDIC SURGERY,-,0.2553,-,-,-,
(V03) (632) MC NORTHPORT L I NY,09 PLASTIC SURGERY,0.48,-,-,-,0.4444,
(V03) (632) MC NORTHPORT L I NY,12 UROLOGY,-,0.3871,-,-,0.2353,
(V03) (632) MC NORTHPORT L I NY,19 INFECTIOUS DISEASES,-,-,0.7059,-,-,
(V03) (632) MC NORTHPORT L I NY,21 GEN INTERNAL MED,0.0436,-,-,0.0792,-,
(V03) (632) MC NORTHPORT L I NY,23 ALLERGY & IMMUNOLOGY,-,-,-,-,1,
(V03) (632) MC NORTHPORT L I NY,26 PULMONARY DISEASES,-,-,0.2034,-,-,
(V03) (632) MC NORTHPORT L I NY,27 NEPHROLOGY,0.2857,-,-,-,0.3529,
(V03) (632) MC NORTHPORT L I NY,29 ENDOCRIN AND METAB,-,-,-,0.5,-,
(V03) (632) MC NORTHPORT L I NY,31 PSYCHIATRY,0.0502,0.1644,0.049,0.098,0.1506,
(V03) (632) MC NORTHPORT L I NY,43 PATHOLOGY,-,-,-,-,0.6,
(V03) (632) MC NORTHPORT L I NY,44 PHYS MED & REHAB,0.2222,-,0.2182,-,-,
(V03) (632) MC NORTHPORT L I NY,46 NUCLEAR MEDICINE,0.3529,-,-,-,-,
(V03) (632) MC NORTHPORT L I NY,51 CHIEF OF STAFF,-,-,-,-,1,
(V03) (632) MC NORTHPORT L I NY,G9 RADIATION ONCOLOGY,-,-,-,-,0.5714,
(V03) (632) MC NORTHPORT L I NY,R3 HEMATOLOGY/ONCOLOGY,-,-,-,0.25,-,
(V03) (632) MC NORTHPORT L I NY,R4 VASCULAR SURGERY,-,-,0.5714,-,-,
V04,0602 Physician (All Specialties),0.089,0.0889,0.09,0.1103,0.1004,
V04,01 ANESTHESIOLOGY,0.087,0.0433,-,0.1237,0.0743,
V04,02 SURGERY,0.0558,0.2259,0.0898,0.1405,0.144,
V04,03 GYNECOLOGY,0.4286,-,-,0.2857,-,
V04,05 MEDICAL ONCOLOGY,-,-,-,0.1379,-,
V04,06 OPHTHALMOLOGY,0.127,0.063,0.189,0.0973,0.0323,
V04,07 ORTHOPEDIC SURGERY,-,0.1429,0.0472,0.0828,0.0811,
V04,08 OTOLARYNGOLOGY,0.1538,0.2069,0.1481,0.16,0.0811,
V04,09 PLASTIC SURGERY,-,1,-,-,0.2553,
V04,11 THORACIC SURGERY,-,-,-,-,0.3077,
V04,12 UROLOGY,0.2628,0.1875,0.08,0.1263,0.0612,
V04,16 EMERGENCY MEDICINE,0.0565,0.0239,0.0686,0.1355,0.0374,
V04,18 HEMATOLOGY,-,0.2927,-,-,-,
V04,19 INFECTIOUS DISEASES,0.071,0.0828,-,0.0811,0.0795,
V04,20 DERMATOLOGY,0.4444,0.1967,0.2069,0.3273,0.0945,
V04,21 GEN INTERNAL MED,0.0626,0.0798,0.0706,0.1096,0.0944,
V04,23 ALLERGY & IMMUNOLOGY,-,0.6,-,-,-,
V04,25 GASTROENTEROLOGY,0.0543,0.0453,0.0451,0.0902,0.2257,
V04,26 PULMONARY DISEASES,0.0453,0.0453,0.0828,0.0764,0.0777,
V04,27 NEPHROLOGY,-,0.0496,0.0992,-,0.0513,
V04,28 RHEUMATOLOGY,-,-,0.2,0.0938,-,
V04,29 ENDOCRIN AND METAB,0.093,-,0.1765,0.2687,0.1727,
V04,30 NEUROLOGY,0.0889,-,0.0934,0.0484,0.0863,
V04,31 PSYCHIATRY,0.0735,0.0998,0.0526,0.1103,0.1168,
V04,34 ADV GERIATRIC FELLOW,-,-,-,-,1.5,
V04,35 CLINICAL SCHOLAR-RWJ,0.5,0.3478,0.3636,0.48,0.4737,
V04,38 RADIOLOGY-DIAGNOSTIC,-,0.092,0.038,0.2874,0.1387,
V04,39 RADIOLOGY-THERAPEU,0.7059,-,-,0.5714,-,
V04,40 GERIATRICS,0.0441,0.0952,-,0.2078,0.0566,
V04,43 PATHOLOGY,0.0446,0.0436,0.0469,0.0449,0.0836,
V04,44 PHYS MED & REHAB,-,0.0441,-,0.0432,0.1246,
V04,45 RADIOLOGY-INTERVENT,-,-,-,-,0.0833,
V04,46 NUCLEAR MEDICINE,-,0.16,0.72,-,0.2553,
V04,49 FAMILY PRACTICE,0.2188,-,0.1605,-,0.1098,
V04,51 CHIEF OF STAFF,0.12,-,0.1111,-,0.1165,
V04,54 ASSOC COS RES & DEV,-,0.9231,-,-,-,
V04,59 ASSOC COS AMBUL CARE,-,-,-,0.6316,-,
V04,E2 ASSOC COS GER/LTC,-,1,-,-,-,
V04,E6 CARDIOLOGY NON-INTER,0.1452,0.0524,0.0522,0.0482,0.0892,
V04,G9 RADIATION ONCOLOGY,-,-,1,-,-,
V04,H1 PSYCHIATRY FELW,1,1.125,-,-,-,
V04,H3 AMBULATORY CARE FELW,-,-,-,0.5714,1,
V04,H7 HLTH SVCS RESCH FELW,-,-,1,-,-,
V04,H8 NEURO/TRAU BRN INJ F,-,0.3636,0.8,0.5,1,
V04,H9 WOMEN VETS HLTH FELW,0.7273,0.4444,0.3333,0.6,0.2353,
V04,K6 HOSPITALIST,0.3707,0.176,0.2951,0.1099,0.0878,
V04,K8 CRITICAL CARE,-,-,-,0.1875,-,
V04,M9 CARDIOLOGY-INTERVEN,-,0.096,-,0.0952,0.1111,
V04,N9 CARDIAC ELECTROPHY,-,-,-,0.4211,-,
V04,P1 PRIMARY CARE,0.201,0.0811,0.0679,0.0405,0.0655,
V04,R3 HEMATOLOGY/ONCOLOGY,-,0.2,0.4211,0.1304,0.2182,
V04,R4 VASCULAR SURGERY,-,-,0.4,-,0.3636,
(V04) (460) MROC WILMINGTON DE,0602 Physician (All Specialties),0.0351,0.0476,0.0605,0.1266,0.1511,
(V04) (460) MROC WILMINGTON DE,01 ANESTHESIOLOGY,-,-,-,0.6316,-,
(V04) (460) MROC WILMINGTON DE,02 SURGERY,-,-,-,0.5,0.5455,
(V04) (460) MROC WILMINGTON DE,07 ORTHOPEDIC SURGERY,-,-,-,-,1,
