Location 102016 Pending,"1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0å_14
Days","9. EWL 0å_
14 Days","10. Appts
Between 15å_30
Days","11. EWL 15
å_30 days","12. Appts
Between 31å_60
Days","13. EWL 31
å_60 Days","14. Appts
Between 61å_90
Days","15. EWL 61
å_90 Days","16. Appts
Between 91å_
120 Days","17. EWL 91
å_120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
(V15) (589GN) Emporia,68,65,95.59%,3,4.41%,0,0,60,0,5,0,2,0,1,0,0,0,0,0,6,,10.47
(V15) (589GP) Garnett,52,43,82.69%,9,17.31%,0,0,36,0,7,0,6,0,2,0,0,0,1,0,18.37,,6.11
(V15) (589GR) Junction City,606,588,97.03%,18,2.97%,0,0,545,0,43,0,18,0,0,0,0,0,0,0,0.02,0,6.18
(V15) (589GU) Lawrence,163,163,100.00%,0,0.00%,0,0,161,0,2,0,0,0,0,0,0,0,0,0,0.74,0,0.05
(V15) (589GV) Ft. Scott,258,223,86.43%,35,13.57%,0,0,176,0,47,0,31,0,3,0,0,0,1,0,16.31,0,8.13
(V15) (589JE) Platte City,67,67,100.00%,0,0.00%,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0.65,,0.47
(V15) (589MD) IDES Fort Leavenworth,32,32,100.00%,0,0.00%,0,0,32,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V15) (589) Wichita, KS","20,583","19,651",95.47%,932,4.53%,5,87,"18,921",16,730,10,545,13,195,6,130,9,62,33,2.89,8.89,1.13
(V15) (589A7) Robert J. Dole VAMC,"17,231","16,322",94.72%,909,5.28%,0,24,"15,647",12,675,7,534,4,185,1,129,0,61,0,3.84,9.08,1.17
(V15) (589G2) Dodge City,207,206,99.52%,1,0.48%,0,8,203,1,3,2,1,2,0,0,0,2,0,1,1.04,1.64,1.02
(V15) (589G3) Liberal,99,99,100.00%,0,0.00%,0,0,97,0,2,0,0,0,0,0,0,0,0,0,2.29,1.86,0.84
(V15) (589G4) Hays,412,411,99.76%,1,0.24%,0,25,397,1,14,1,1,5,0,5,0,2,0,11,3.2,0.59,0.55
(V15) (589G5) Parsons,427,414,96.96%,13,3.04%,0,12,398,1,16,0,4,2,9,0,0,0,0,9,5.23,12.37,0.82
(V15) (589G7) Hutchinson,358,357,99.72%,1,0.28%,0,10,352,0,5,0,1,0,0,0,0,4,0,6,1.23,0.02,1.3
(V15) (589GW) Salina,"1,840","1,833",99.62%,7,0.38%,0,8,"1,818",1,15,0,4,0,1,0,1,1,1,6,1.73,0.13,0.98
(V15) (589MB) IDES McConnel AFB,9,9,100.00%,0,0.00%,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,2.8,1.75
"(V15) (657) Marion, IL","28,290","25,830",91.30%,"2,460",8.70%,8,7,"22,819",7,"3,011",0,"1,513",0,714,0,124,0,109,0,15.61,9.38,3.92
(V15) (657A5) Marion VAMC,"11,579","10,979",94.82%,600,5.18%,0,7,"9,700",7,"1,279",0,393,0,129,0,14,0,64,0,6.93,9.65,2.83
(V15) (657GJ) Evansville,"9,196","7,791",84.72%,"1,405",15.28%,0,0,"6,547",0,"1,244",0,893,0,399,0,73,0,40,0,27.75,9.46,6.14
(V15) (657GK) Mt. Vernon,899,618,68.74%,281,31.26%,0,0,591,0,27,0,113,0,144,0,19,0,5,0,48.02,0.65,1.09
(V15) (657GL) Paducah,"1,413","1,377",97.45%,36,2.55%,0,0,"1,253",0,124,0,32,0,3,0,1,0,0,0,5.26,3.33,5.44
(V15) (657GM) Effingham,584,581,99.49%,3,0.51%,0,0,551,0,30,0,3,0,0,0,0,0,0,0,1.94,0,3.5
(V15) (657GO) Hanson,198,193,97.47%,5,2.53%,0,0,182,0,11,0,4,0,1,0,0,0,0,0,3.73,9.73,3.08
(V15) (657GP) Owensboro,"1,333","1,321",99.10%,12,0.90%,0,0,"1,229",0,92,0,10,0,2,0,0,0,0,0,4.19,2.86,2.12
(V15) (657GQ) Vincennes,613,526,85.81%,87,14.19%,0,0,429,0,97,0,38,0,33,0,16,0,0,0,23.21,1.18,4.83
(V15) (657GR) Mayfield,"1,189","1,162",97.73%,27,2.27%,0,0,"1,092",0,70,0,23,0,3,0,1,0,0,0,3.75,4.33,3.23
(V15) (657GT) Carbondale,868,866,99.77%,2,0.23%,0,0,837,0,29,0,2,0,0,0,0,0,0,0,2.15,0.13,1.84
(V15) (657GU) Harrisburg,418,416,99.52%,2,0.48%,0,0,408,0,8,0,2,0,0,0,0,0,0,0,2.13,2.54,0
"(V15) (657) Poplar Bluff, MO","11,472","11,105",96.80%,367,3.20%,8,0,"10,072",0,"1,033",0,170,0,149,0,33,0,15,0,7.19,8.14,3.58
(V15) (657A4) John J. Pershing VAMC,"6,682","6,391",95.65%,291,4.35%,0,0,"5,527",0,864,0,125,0,128,0,29,0,9,0,10.85,8.4,3.29
(V15) (657GF) West Plains,819,812,99.15%,7,0.85%,0,0,786,0,26,0,2,0,3,0,0,0,2,0,2.27,3.96,3.58
(V15) (657GG) Paragould,780,769,98.59%,11,1.41%,0,0,741,0,28,0,3,0,3,0,3,0,2,0,4.52,0,1.96
(V15) (657GH) Cape Girardeau,"1,588","1,549",97.54%,39,2.46%,0,0,"1,496",0,53,0,29,0,9,0,0,0,1,0,1.7,2.04,4.77
(V15) (657GI) Farmington,"1,171","1,157",98.80%,14,1.20%,0,0,"1,105",0,52,0,7,0,6,0,0,0,1,0,3.37,4.86,3.52
(V15) (657GN) Salem,12,11,91.67%,1,8.33%,0,0,10,0,1,0,1,0,0,0,0,0,0,0,4.42,,
(V15) (657GV) Sikeston,420,416,99.05%,4,0.95%,0,0,407,0,9,0,3,0,0,0,1,0,0,0,3.18,1.6,2.12
"(V15) (657) St. Louis, MO","57,175","52,922",92.56%,"4,253",7.44%,79,437,"47,477",149,"5,445",43,"2,558",48,"1,045",21,309,44,341,132,11.69,11.48,4.18
(V15) (657) John J. Cochran VAMC,"34,525","32,096",92.96%,"2,429",7.04%,0,0,"28,431",0,"3,665",0,"1,713",0,488,0,130,0,98,0,13.81,9.05,4.63
(V15) (657A0) St Louis-Jeff Bks.,"19,652","18,042",91.81%,"1,610",8.19%,0,150,"16,759",23,"1,283",13,701,7,519,12,171,28,219,67,8.27,22.24,4.11
(V15) (657GA) Belleville,954,831,87.11%,123,12.89%,0,33,470,0,361,0,104,0,19,0,0,0,0,33,18.15,5.57,6.95
(V15) (657GB) St. Louis County,815,806,98.90%,9,1.10%,0,1,765,0,41,1,5,0,2,0,1,0,1,0,6.02,4.51,1.85
(V15) (657GD) St. Charles,827,798,96.49%,29,3.51%,0,252,729,126,69,29,23,41,3,9,2,16,1,31,7.78,5.41,3.09
(V15) (657GS) Washington,402,349,86.82%,53,13.18%,0,1,323,0,26,0,12,0,14,0,5,0,22,1,24.31,2.41,1.62
"(V16) (502) Alexandria, LA","32,722","30,250",92.45%,"2,472",7.55%,13,151,"28,377",15,"1,873",13,"1,192",29,537,28,158,9,585,57,8.05,13.81,6.44
(V16) (502) Alexandria VAMC,"23,914","22,051",92.21%,"1,863",7.79%,0,88,"21,015",8,"1,036",11,766,26,394,26,139,4,564,13,7.96,14.05,4.48
(V16) (502GA) Jennings,"1,387","1,324",95.46%,63,4.54%,0,63,"1,241",7,83,2,40,3,18,2,3,5,2,44,4.01,0.4,8.41
(V16) (502GB) Lafayette,"4,713","4,260",90.39%,453,9.61%,0,0,"3,698",0,562,0,325,0,111,0,8,0,9,0,10.66,8.49,9.07
(V16) (502GE) Lake Charles,230,224,97.39%,6,2.61%,0,0,201,0,23,0,0,0,1,0,1,0,4,0,9.17,,
(V16) (502GF) Fort Polk,"1,792","1,725",96.26%,67,3.74%,0,0,"1,565",0,160,0,46,0,8,0,7,0,6,0,3.48,0,7.55
(V16) (502GG) Natchitoches,686,666,97.08%,20,2.92%,0,0,657,0,9,0,15,0,5,0,0,0,0,0,1.36,,3.51
"(V16) (520) Gulf Coast HCS, MS","47,039","43,110",91.65%,"3,929",8.35%,167,"1,242","39,261",574,"3,849",361,"1,919",233,"1,065",69,523,4,422,1,11.75,7.64,12.39
(V16) (520) Biloxi VAMC,"20,102","18,853",93.79%,"1,249",6.21%,0,373,"17,375",193,"1,478",30,666,99,294,48,199,2,90,1,13.52,3.87,16.12
(V16) (520BZ) Pensacola,"17,355","15,594",89.85%,"1,761",10.15%,0,51,"13,766",37,"1,828",1,968,6,534,5,194,2,65,0,11.52,12.7,5.5
(V16) (520GA) Mobile,"4,483","4,370",97.48%,113,2.52%,0,620,"4,225",289,145,279,55,36,35,16,20,0,3,0,4.46,7.24,1.88
(V16) (520GB) Panama City Beach,"2,628","2,513",95.62%,115,4.38%,0,0,"2,328",0,185,0,72,0,34,0,6,0,3,0,8.04,1.22,5.58
(V16) (520GC) Eglin AFB,"2,471","1,780",72.04%,691,27.96%,0,198,"1,567",55,213,51,158,92,168,0,104,0,261,0,18.5,3.66,71.73
"(V16) (564) Fayetteville, AR","49,205","47,680",96.90%,"1,525",3.10%,30,54,"45,292",4,"2,388",5,"1,108",8,318,12,56,7,43,17,2.47,5.29,2.31
(V16) (564) Fayetteville VAMC,"22,932","21,737",94.79%,"1,195",5.21%,0,26,"20,115",2,"1,622",3,898,3,241,6,39,6,17,5,2.86,6.64,4.15
(V16) (564BY) Gene Taylor,"14,420","14,233",98.70%,187,1.30%,0,11,"13,827",2,406,1,93,5,64,3,10,0,20,0,2.43,3.7,1.44
(V16) (564GA) Harrison,417,413,99.04%,4,0.96%,0,17,407,0,6,1,4,0,0,3,0,1,0,12,1.21,,3.25
(V16) (564GB) Fort Smith,"5,428","5,368",98.89%,60,1.11%,0,0,"5,049",0,319,0,48,0,7,0,5,0,0,0,2.18,9.77,1.46
(V16) (564GC) Branson,"4,583","4,513",98.47%,70,1.53%,0,0,"4,491",0,22,0,60,0,2,0,2,0,6,0,2.43,1.15,0.96
(V16) (564GD) Ozark,350,350,100.00%,0,0.00%,0,0,345,0,5,0,0,0,0,0,0,0,0,0,1,5.92,0.06
(V16) (564GE) Jay,"1,075","1,066",99.16%,9,0.84%,0,0,"1,058",0,8,0,5,0,4,0,0,0,0,0,1.28,0.5,1.9
"(V16) (580) Houston, TX","100,308","96,749",96.45%,"3,559",3.55%,7,308,"90,683",10,"6,066",1,"2,773",11,581,32,145,21,60,233,4.73,5.36,2.8
(V16) (580) Michael E DeBakey VAMC,"62,710","60,214",96.02%,"2,496",3.98%,0,263,"56,045",6,"4,169",1,"1,942",11,438,19,94,3,22,223,7.43,5.13,2.34
(V16) (580BY) Beaumont,"10,258","10,094",98.40%,164,1.60%,0,0,"9,886",0,208,0,87,0,36,0,23,0,18,0,1.86,4.08,1.73
(V16) (580BZ) Charles Wilson VA OPC,"4,391","4,209",95.86%,182,4.14%,0,45,"3,981",4,228,0,144,0,25,13,0,18,13,10,5.3,13.51,2.44
(V16) (580GC) Galveston County,"4,690","4,342",92.58%,348,7.42%,0,0,"3,930",0,412,0,271,0,50,0,23,0,4,0,5.94,8.31,9.33
(V16) (580GD) Conroe,"4,159","4,061",97.64%,98,2.36%,0,0,"3,820",0,241,0,84,0,7,0,5,0,2,0,2.37,4.46,4.01
(V16) (580GE) Katy,"6,077","6,036",99.33%,41,0.67%,0,0,"5,706",0,330,0,36,0,4,0,0,0,1,0,2.03,5.98,1.47
(V16) (580GF) Lake Jackson,"1,237","1,233",99.68%,4,0.32%,0,0,"1,170",0,63,0,4,0,0,0,0,0,0,0,3.15,3,2.23
(V16) (580GG) Richmond,"2,809","2,767",98.50%,42,1.50%,0,0,"2,615",0,152,0,39,0,3,0,0,0,0,0,3.79,3.84,1.93
(V16) (580GH) Tomball,"3,977","3,793",95.37%,184,4.63%,0,0,"3,530",0,263,0,166,0,18,0,0,0,0,0,4.66,6.24,2.96
"(V16) (586) Jackson, MS","40,552","37,341",92.08%,"3,211",7.92%,27,103,"35,028",24,"2,313",4,"1,289",56,856,7,894,4,172,8,12.71,10.28,0.7
"(V16) (586) G. V. (Sonny) Montgomery
VAMC","34,222","31,148",91.02%,"3,074",8.98%,0,102,"29,116",23,"2,032",4,"1,226",56,830,7,868,4,150,8,17.07,10.33,0.75
(V16) (586GA) Durant (Kosciusko),402,396,98.51%,6,1.49%,0,0,377,0,19,0,5,0,0,0,1,0,0,0,4.45,,1.8
(V16) (586GB) Meridian,738,719,97.43%,19,2.57%,0,0,659,0,60,0,11,0,2,0,5,0,1,0,8.01,0,0.08
(V16) (586GC) Greenville,473,471,99.58%,2,0.42%,0,0,433,0,38,0,2,0,0,0,0,0,0,0,6.75,0,0
(V16) (586GD) Hattiesburg,"2,182","2,132",97.71%,50,2.29%,0,1,"2,051",1,81,0,29,0,8,0,5,0,8,0,6.55,0.04,0.86
(V16) (586GE) Natchez (Adams County),323,323,100.00%,0,0.00%,0,0,313,0,10,0,0,0,0,0,0,0,0,0,4.79,0,0.01
(V16) (586GF) Columbus,"1,463","1,418",96.92%,45,3.08%,0,0,"1,391",0,27,0,13,0,7,0,13,0,12,0,5.83,0,0.12
(V16) (586GG) McComb,749,734,98.00%,15,2.00%,0,0,688,0,46,0,3,0,9,0,2,0,1,0,4.97,0,0
"(V16) (598) Little Rock, AR","86,468","83,169",96.18%,"3,299",3.82%,10,1,"78,743",1,"4,426",0,"1,749",0,713,0,364,0,473,0,5.14,7.71,3.28
"(V16) (598) John L McClellan Memorial
Veterans Hospital","32,922","31,116",94.51%,"1,806",5.49%,0,1,"29,164",1,"1,952",0,866,0,436,0,239,0,265,0,1.57,8.6,0
"(V16) (598A0) Central AR. Veterans HCS
NLR","30,720","30,033",97.76%,687,2.24%,0,0,"28,483",0,"1,550",0,391,0,148,0,75,0,73,0,4.74,5.33,3.3
(V16) (598GA) Mountain Home,"3,398","3,365",99.03%,33,0.97%,0,0,"3,281",0,84,0,7,0,5,0,6,0,15,0,4.13,0,1.78
(V16) (598GB) El Dorado,"2,220","2,119",95.45%,101,4.55%,0,0,"1,966",0,153,0,90,0,6,0,0,0,5,0,6.03,0.02,5.6
(V16) (598GC) Hot Springs,"3,703","3,624",97.87%,79,2.13%,0,0,"3,480",0,144,0,44,0,19,0,4,0,12,0,4.16,9.06,3.95
(V16) (598GD) Mena,"2,075","1,949",93.93%,126,6.07%,0,0,"1,933",0,16,0,14,0,17,0,11,0,84,0,11.96,0,1.65
(V16) (598GE) Pine Bluff,"2,434","2,361",97.00%,73,3.00%,0,0,"2,222",0,139,0,50,0,9,0,5,0,9,0,6.17,0,6.04
(V16) (598GF) Searcy,"2,286","2,225",97.33%,61,2.67%,0,0,"2,121",0,104,0,45,0,5,0,8,0,3,0,5.57,0,2.69
(V16) (598GG) Conway,"5,060","4,732",93.52%,328,6.48%,0,0,"4,457",0,275,0,237,0,68,0,16,0,7,0,6.33,9.12,2.82
(V16) (598GH) Russellville,"1,650","1,645",99.70%,5,0.30%,0,0,"1,636",0,9,0,5,0,0,0,0,0,0,0,0.92,0.61,0.71
"(V16) (623) Muskogee, OK","31,346","29,036",92.63%,"2,310",7.37%,2,26,"26,548",4,"2,488",0,"1,767",0,315,2,90,0,138,20,6.19,11.74,2.92
(V16) (623) Jack C Montgomery VAMC,"14,198","13,459",94.80%,739,5.20%,0,4,"12,183",1,"1,276",0,607,0,109,1,17,0,6,2,8.22,6.61,1.84
(V16) (623BY) Tulsa,"14,545","13,004",89.41%,"1,541",10.59%,0,20,"11,848",2,"1,156",0,"1,139",0,205,1,73,0,124,17,5.87,18.65,4.61
(V16) (623GA) Hartshorne,786,769,97.84%,17,2.16%,0,0,735,0,34,0,17,0,0,0,0,0,0,0,1.98,0.47,0.87
(V16) (623GB) Vinita,"1,817","1,804",99.28%,13,0.72%,0,2,"1,782",1,22,0,4,0,1,0,0,0,8,1,3.3,2.25,0.25
"(V16) (629) New Orleans, LA","43,797","41,248",94.18%,"2,549",5.82%,16,7,"36,230",5,"5,018",0,"1,776",1,712,0,43,1,18,0,6.51,10.34,5.4
(V16) (629) New Orleans VAMC,"30,058","28,159",93.68%,"1,899",6.32%,0,7,"24,661",5,"3,498",0,"1,345",1,517,0,22,1,15,0,5.81,10.33,4.9
(V16) (629BY) Baton Rouge,"6,810","6,422",94.30%,388,5.70%,0,0,"5,494",0,928,0,260,0,112,0,15,0,1,0,6.79,10.91,8.98
(V16) (629GA) Houma,"1,084","1,028",94.83%,56,5.17%,0,0,911,0,117,0,49,0,6,0,1,0,0,0,11.89,6.31,4.82
(V16) (629GB) Hammond,"2,835","2,734",96.44%,101,3.56%,0,0,"2,509",0,225,0,64,0,32,0,4,0,1,0,6.83,7.03,3.55
(V16) (629GC) Slidell,"1,715","1,644",95.86%,71,4.14%,0,0,"1,493",0,151,0,26,0,44,0,1,0,0,0,8.03,11.33,1.03
(V16) (629GD) St. John,827,812,98.19%,15,1.81%,0,0,757,0,55,0,13,0,1,0,0,0,1,0,5.63,2,5.32
(V16) (629GE) Franklin,183,168,91.80%,15,8.20%,0,0,142,0,26,0,15,0,0,0,0,0,0,0,12.54,,4.08
(V16) (629GF) Bogalusa,285,281,98.60%,4,1.40%,0,0,263,0,18,0,4,0,0,0,0,0,0,0,3.07,0,3.72
"(V16) (635) Oklahoma City, OK","54,169","51,272",94.65%,"2,897",5.35%,6,24,"48,707",4,"2,565",7,"1,761",11,740,1,256,0,140,1,2.43,9.62,2.61
(V16) (635) Oklahoma City VAMC,"43,954","41,185",93.70%,"2,769",6.30%,0,24,"39,010",4,"2,175",7,"1,661",11,718,1,254,0,136,1,2.68,9.69,2.65
(V16) (635GA) Lawton,"3,563","3,503",98.32%,60,1.68%,0,0,"3,304",0,199,0,50,0,10,0,0,0,0,0,3.92,6.97,2.32
(V16) (635GB) Wichita Falls,"1,173","1,158",98.72%,15,1.28%,0,0,"1,151",0,7,0,5,0,10,0,0,0,0,0,0.8,4.83,2.16
(V16) (635GC) Blackwell,179,179,100.00%,0,0.00%,0,0,178,0,1,0,0,0,0,0,0,0,0,0,0.23,1.88,0
(V16) (635GD) Ada,648,646,99.69%,2,0.31%,0,0,640,0,6,0,2,0,0,0,0,0,0,0,0.08,10.82,0.49
(V16) (635GE) Stillwater,367,356,97.00%,11,3.00%,0,0,327,0,29,0,11,0,0,0,0,0,0,0,5.14,16.33,2.2
(V16) (635GF) Altus,106,101,95.28%,5,4.72%,0,0,94,0,7,0,5,0,0,0,0,0,0,0,8.35,4,3.73
(V16) (635GG) Enid,716,710,99.16%,6,0.84%,0,0,707,0,3,0,2,0,0,0,0,0,4,0,1.54,11.57,1.69
(V16) (635HB) Ardmore,261,260,99.62%,1,0.38%,0,0,249,0,11,0,1,0,0,0,0,0,0,0,0.38,1.35,3.66
(V16) (635QB) South Oklahoma City,"3,202","3,174",99.13%,28,0.87%,0,0,"3,047",0,127,0,24,0,2,0,2,0,0,0,2.16,2,5.46
"(V16) (667) Shreveport, LA","46,476","43,906",94.47%,"2,570",5.53%,21,11,"41,164",2,"2,742",0,"1,726",0,482,0,205,1,157,8,6.9,7.72,2.47
(V16) (667) Overton Brooks VAMC,"38,074","35,892",94.27%,"2,182",5.73%,0,10,"33,594",2,"2,298",0,"1,402",0,431,0,202,0,147,8,7,8.07,2.07
(V16) (667GA) Texarkana,"2,997","2,743",91.52%,254,8.48%,0,0,"2,521",0,222,0,216,0,32,0,3,0,3,0,10.57,3.23,2.99
(V16) (667GB) Monroe,"2,861","2,815",98.39%,46,1.61%,0,0,"2,722",0,93,0,32,0,10,0,0,0,4,0,3.09,0.28,1.73
(V16) (667GC) Longview,"2,540","2,452",96.54%,88,3.46%,0,1,"2,323",0,129,0,76,0,9,0,0,1,3,0,6.44,1.3,3.9
(V16) (667MA) IDES Barksdale AFB,4,4,100.00%,0,0.00%,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V17) (549) Dallas, TX","108,704","105,755",97.29%,"2,949",2.71%,71,77,"98,997",10,"6,758",3,"2,330",14,368,19,133,13,118,18,7,3.81,2.46
(V17) (549) Dallas VAMC,"74,565","72,635",97.41%,"1,930",2.59%,0,40,"68,708",8,"3,927",2,"1,516",2,221,6,87,7,106,15,7.66,3.62,0.67
"(V17) (549A4) Sam Rayburn Memorial
Veterans Center","8,110","7,968",98.25%,142,1.75%,0,17,"7,364",0,604,0,95,4,31,11,10,2,6,0,3.92,5.5,2.24
(V17) (549BY) Fort Worth VA Clinic,"19,120","18,527",96.90%,593,3.10%,0,12,"16,951",0,"1,576",1,479,4,79,0,30,4,5,3,5.82,4.33,5.27
(V17) (549GA) Tyler,937,933,99.57%,4,0.43%,0,0,897,0,36,0,3,0,1,0,0,0,0,0,,4.37,3.36
(V17) (549GD) Denton,"1,984","1,971",99.34%,13,0.66%,0,6,"1,715",2,256,0,10,3,0,1,2,0,1,0,8.77,4.94,0.74
(V17) (549GE) Bridgeport,444,438,98.65%,6,1.35%,0,2,427,0,11,0,3,1,1,1,2,0,0,0,3.28,0,7.12
(V17) (549GF) Granbury,236,232,98.31%,4,1.69%,0,0,188,0,44,0,1,0,2,0,1,0,0,0,8.44,0,
(V17) (549GH) Greenville,340,333,97.94%,7,2.06%,0,0,317,0,16,0,6,0,1,0,0,0,0,0,3.63,0,6.17
(V17) (549GJ) Sherman,"1,210","1,143",94.46%,67,5.54%,0,0,971,0,172,0,64,0,3,0,0,0,0,0,11.67,11.44,2.33
(V17) (549GL) Plano,771,770,99.87%,1,0.13%,0,0,762,0,8,0,1,0,0,0,0,0,0,0,1,0,0.77
(V17) (549QC) Broadway,987,805,81.56%,182,18.44%,0,0,697,0,108,0,152,0,29,0,1,0,0,0,13.05,1.18,
"(V17) (671) San Antonio, TX","96,743","88,972",91.97%,"7,771",8.03%,10,6,"82,459",4,"6,513",1,"4,736",1,"1,916",0,686,0,433,0,5.98,10.94,2.63
"(V17) (671) Audie L Murphy Memorial
Veterans Hospital","61,671","55,657",90.25%,"6,014",9.75%,0,5,"50,955",4,"4,702",1,"3,393",0,"1,649",0,612,0,360,0,7.36,10.89,2.01
(V17) (671A4) Kerrville VAMC,"7,324","6,907",94.31%,417,5.69%,0,1,"6,489",0,418,0,290,1,96,0,24,0,7,0,3.91,10.05,1.8
(V17) (671BU) San Antonio Domiciliary,135,135,100.00%,0,0.00%,0,0,122,0,13,0,0,0,0,0,0,0,0,0,,,0
(V17) (671BY) Frank M Tejeda VA OPC,"13,746","13,075",95.12%,671,4.88%,0,0,"12,439",0,636,0,611,0,30,0,8,0,22,0,3.59,16.3,3.05
(V17) (671GB) Victoria,"2,751","2,718",98.80%,33,1.20%,0,0,"2,624",0,94,0,22,0,3,0,2,0,6,0,4.1,4.25,2.66
(V17) (671GF) South Bexar County,"1,976","1,693",85.68%,283,14.32%,0,0,"1,550",0,143,0,199,0,45,0,21,0,18,0,20.45,,2.53
(V17) (671GH) Beeville,113,113,100.00%,0,0.00%,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,,
(V17) (671GK) San Antonio,"2,825","2,825",100.00%,0,0.00%,0,0,"2,760",0,65,0,0,0,0,0,0,0,0,0,2.03,,
(V17) (671GL) New Braunfels VA Clinic,415,399,96.14%,16,3.86%,0,0,259,0,140,0,16,0,0,0,0,0,0,0,11.39,,
(V17) (671GN) Seguin,346,346,100.00%,0,0.00%,0,0,342,0,4,0,0,0,0,0,0,0,0,0,1.09,,
"(V17) (671GO) North Central Federal VA
Clinic","5,441","5,104",93.81%,337,6.19%,0,0,"4,806",0,298,0,205,0,93,0,19,0,20,0,7.33,2.84,3.22
"(V17) (674) Temple, TX","103,943","95,790",92.16%,"8,153",7.84%,25,76,"88,260",7,"7,530",15,"5,713",13,"1,304",8,321,4,815,29,10.04,7.86,4.56
"(V17) (674) Olin E Teague Veterans
Center","62,068","57,048",91.91%,"5,020",8.09%,0,59,"52,939",6,"4,109",11,"3,900",11,859,7,151,3,110,21,10.68,7.94,5.15
(V17) (6749AA) VANURS Temple,0,0,0.00%,0,0.00%,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,
(V17) (674A4) Doris Miller VAMC,"6,491","6,285",96.83%,206,3.17%,0,5,"5,893",0,392,2,169,1,32,1,2,1,3,0,6.41,3.96,3.42
(V17) (674BY) Austin,"24,754","22,915",92.57%,"1,839",7.43%,0,9,"20,664",1,"2,251",2,"1,315",1,362,0,83,0,79,5,12.14,8.3,2.83
(V17) (674GA) Palestine,664,655,98.64%,9,1.36%,0,0,604,0,51,0,8,0,1,0,0,0,0,0,4.17,7.13,5.32
(V17) (674GB) Brownwood,"1,246","1,226",98.39%,20,1.61%,0,1,"1,170",0,56,0,16,0,1,0,1,0,2,1,3.78,5.11,5.88
(V17) (674GC) Bryan,"5,596","4,746",84.81%,850,15.19%,0,0,"4,443",0,303,0,105,0,44,0,82,0,619,0,5.79,33.42,7.75
(V17) (674GD) Cedar Park,"2,886","2,682",92.93%,204,7.07%,0,0,"2,352",0,330,0,196,0,4,0,2,0,2,0,8.6,9.22,3.38
(V17) (674HB) LaGrange,238,233,97.90%,5,2.10%,0,1,195,0,38,0,4,0,1,0,0,0,0,1,6.72,11.67,6.47
(V17) (740) VA Texas Valley Coastal Bend HCS,"20,791","18,510",89.03%,"2,281",10.97%,119,494,"16,801",91,"1,709",20,"1,196",10,806,9,106,6,173,358,17.65,14.38,3.07
(V17) (740) Harlingen VA Clinic,"5,245","4,592",87.55%,653,12.45%,0,276,"4,192",12,400,5,348,5,136,1,57,0,112,253,14.86,15.13,2.82
(V17) (740GA) Harlingen,"3,698","3,091",83.59%,607,16.41%,0,99,"2,679",1,412,0,461,0,79,0,24,3,43,95,21.26,18.88,3.9
(V17) (740GB) McAllen,"4,514","4,445",98.47%,69,1.53%,0,36,"3,986",27,459,8,59,1,8,0,1,0,1,0,6.41,8.17,2.83
(V17) (740GC) Corpus Christi,"5,771","4,827",83.64%,944,16.36%,0,61,"4,440",51,387,7,324,0,582,3,23,0,15,0,32.37,13.65,3.44
(V17) (740GD) Laredo,"1,563","1,555",99.49%,8,0.51%,0,22,"1,504",0,51,0,4,4,1,5,1,3,2,10,3.56,2.74,1.33
(V18) (501) New Mexico HCS,"56,152","51,880",92.39%,"4,272",7.61%,4,153,"47,551",25,"4,329",11,"2,494",27,"1,012",18,464,16,302,56,7.67,9.32,10.96
(V18) (501) Raymond G Murphy VAMC,"46,718","42,889",91.80%,"3,829",8.20%,0,151,"39,112",24,"3,777",11,"2,200",27,875,18,457,16,297,55,10.06,9.17,13.45
(V18) (501G2) Las Vegas,634,575,90.69%,59,9.31%,0,0,537,0,38,0,37,0,21,0,1,0,0,0,10.63,0,5.62
(V18) (501GA) Artesia,472,446,94.49%,26,5.51%,0,0,426,0,20,0,19,0,5,0,1,0,1,0,4.76,0,12.79
(V18) (501GB) Farmington,"1,359","1,284",94.48%,75,5.52%,0,0,"1,193",0,91,0,62,0,12,0,1,0,0,0,7.31,0,5.05
(V18) (501GC) Silver City,336,331,98.51%,5,1.49%,0,1,318,0,13,0,3,0,1,0,1,0,0,1,2.64,0.5,8.59
(V18) (501GD) Gallup NM,452,445,98.45%,7,1.55%,0,0,439,0,6,0,7,0,0,0,0,0,0,0,0.7,0,8.27
(V18) (501GE) Espanola,454,450,99.12%,4,0.88%,0,0,434,0,16,0,4,0,0,0,0,0,0,0,1.93,0,7.27
(V18) (501GH) Truth or Consequences,275,275,100.00%,0,0.00%,0,0,274,0,1,0,0,0,0,0,0,0,0,0,0.06,,0.9
