"",,"Total ApptsCompleted1","Apptscompletedin 30 Daysor under2","PercentApptscompletedin 30 Daysor under3","Apptscompletedin over 30Days4","PercentApptscompletedin over 30Days5",,"ApptsCompletedBetween0 - 14Days6","ApptsCompletedBetween15 - 30Days7","ApptsCompletedBetween31 - 60days8","ApptsCompletedBetween61 - 90Days9","ApptsCompletedBetween91 - 120Days10","ApptsCompletedBeyond 120Days11",,"PC AvgWait Timein Days12","SC AvgWait Timein Days13","MH AvgWait Timein Days14"
"(V18) (644) Phoenix, AZ","55,618","52,929",95.17%,"2,689",4.83%,,"48,468","4,461","2,026",428,216,19,,4.92,10.50,4.40,
"(V18) (644) Phoenix","42,571","40,390",94.88%,"2,181",5.12%,,"36,864","3,526","1,580",383,201,17,,4.79,10.91,3.87,
"(V18) (644BY) Southeast","5,783","5,492",94.97%,291,5.03%,,"4,930",562,247,31,12,1,,7.43,6.63,6.30,
"(V18) (644GA) Sun City","4,291","4,130",96.25%,161,3.75%,,"3,924",206,150,7,3,1,,3.18,7.96,5.10,
"(V18) (644GB) Show Low",977,958,98.06%,19,1.94%,,854,104,19,0,0,0,,4.41,5.60,0.52,
"",(V18) (644GD) Payson (Gila County),252,243,96.43%,9,3.57%,,242,1,6,3,0,0,,0.98,,27.11
"",(V18) (644GE) Thunderbird,"1,450","1,425",98.28%,25,1.72%,,"1,374",51,21,4,0,0,,2.92,6.51,5.72
"",(V18) (644GF) Globe,294,291,98.98%,3,1.02%,,280,11,3,0,0,0,,2.66,3.25,0.08
"(V18) (649) Northern Arizona HCS","15,069","14,454",95.92%,615,4.08%,,"13,967",487,505,100,10,0,,3.57,8.51,0.19,
"",(V18) (649) Prescott,"11,444","10,964",95.81%,480,4.19%,,"10,578",386,377,94,9,0,,2.36,8.64,0.26
"",(V18) (649GA) Kingman,991,947,95.56%,44,4.44%,,890,57,41,2,1,0,,8.61,0.00,0.00
"",(V18) (649GB) Flagstaff,534,525,98.31%,9,1.69%,,515,10,9,0,0,0,,3.36,0.06,0.00
"",(V18) (649GC) Lake Havasu,"1,110","1,107",99.73%,3,0.27%,,"1,088",19,2,1,0,0,,1.46,0.00,0.00
"",(V18) (649GD) Anthem,299,299,100.00%,0,0.00%,,299,0,0,0,0,0,,0.28,,0.05
"",(V18) (649GE) Cottonwood (Yavapai County),668,589,88.17%,79,11.83%,,574,15,76,3,0,0,,9.41,,0.00
"",(V18) (649HK) Prescott,23,23,100.00%,0,0.00%,,23,0,0,0,0,0,,0.00,,0.00
"(V18) (678) Southern Arizona HCS","36,820","36,242",98.43%,578,1.57%,,"35,355",887,446,98,28,6,,2.88,2.49,2.63,
"",(V18) (678) Tucson,"27,191","26,793",98.54%,398,1.46%,,"26,154",639,306,74,15,3,,2.27,2.60,3.17
"",(V18) (678GA) Sierra Vista,"2,274","2,244",98.68%,30,1.32%,,"2,219",25,29,1,0,0,,0.65,2.26,0.20
"",(V18) (678GB) Yuma,"1,678","1,661",98.99%,17,1.01%,,"1,622",39,9,0,6,2,,4.52,1.39,1.16
"",(V18) (678GC) Casa Grande,"1,408","1,365",96.95%,43,3.05%,,"1,302",63,30,6,6,1,,5.78,3.56,3.54
"",(V18) (678GD) Safford,269,266,98.88%,3,1.12%,,254,12,3,0,0,0,,1.92,0.33,6.79
"",(V18) (678GE) Green Valley,529,525,99.24%,4,0.76%,,516,9,3,1,0,0,,1.26,1.86,4.69
"",(V18) (678GF) Northwest CBOC,"1,875","1,854",98.88%,21,1.12%,,"1,816",38,17,3,1,0,,2.61,1.36,0.08
"",(V18) (678GG) Southeast CBOC,"1,562","1,500",96.03%,62,3.97%,,"1,438",62,49,13,0,0,,6.51,1.97,0.71
"",(V18) (678MA) IDES Davis-Monthan AFB,21,21,100.00%,0,0.00%,,21,0,0,0,0,0,,,,
"",(V18) (678MB) IDES Fort Huachuca,13,13,100.00%,0,0.00%,,13,0,0,0,0,0,,,,
"(V18) (756) El Paso, TX","20,803","19,720",94.79%,"1,083",5.21%,,"18,076","1,644",728,280,74,1,,5.93,5.94,8.55,
"",(V18) (756) El Paso HCS,"17,551","16,562",94.36%,989,5.64%,,"15,099","1,463",665,252,71,1,,8.67,5.90,8.40
"",(V18) (756GA) Las Cruces,"1,580","1,551",98.16%,29,1.84%,,"1,489",62,27,2,0,0,,1.72,0.78,4.96
"",(V18) (756GB) El Paso Eastside CBOC,"1,266","1,203",95.02%,63,4.98%,,"1,150",53,34,26,3,0,,0.75,0.00,14.07
"",(V18) (756MA) IDES Fort Bliss,406,404,99.51%,2,0.49%,,338,66,2,0,0,0,,,,
"(V19) (436) Montana HCS","22,091","21,359",96.69%,732,3.31%,,"20,476",883,530,149,49,4,,5.57,2.74,3.48,
"","(V19) (436) Fort Harrison, MT","8,636","8,230",95.30%,406,4.70%,,"7,862",368,285,87,30,4,,10.64,3.25,7.90
"(V19) (436BU) VADOM Fort Harrison",3,3,100.00%,0,0.00%,,3,0,0,0,0,0,,,,,
"(V19) (436GA) Anaconda",315,313,99.37%,2,0.63%,,302,11,1,1,0,0,,2.64,0.00,0.80,
"(V19) (436GB) Great Falls","1,729","1,666",96.36%,63,3.64%,,"1,582",84,58,5,0,0,,5.49,2.39,2.42,
"(V19) (436GC) Missoula","2,872","2,711",94.39%,161,5.61%,,"2,604",107,98,49,14,0,,7.68,1.64,3.86,
"(V19) (436GD) Bozeman",977,952,97.44%,25,2.56%,,865,87,22,2,1,0,,5.90,8.35,1.57,
"(V19) (436GF) Kalispell","1,652","1,648",99.76%,4,0.24%,,"1,637",11,3,1,0,0,,0.67,0.77,0.97,
"(V19) (436GH) Billings","4,301","4,253",98.88%,48,1.12%,,"4,105",148,42,2,4,0,,3.39,1.64,0.97,
"(V19) (436GI) Glasgow",191,190,99.48%,1,0.52%,,189,1,1,0,0,0,,0.86,0.00,0.00,
"(V19) (436GJ) Miles City, MT CBOC",420,420,100.00%,0,0.00%,,411,9,0,0,0,0,,1.54,0.01,0.00,
"(V19) (436GK) Glendive, MT CBOC",194,191,98.45%,3,1.55%,,171,20,3,0,0,0,,6.55,0.00,0.90,
"(V19) (436GL) Cut Bank",272,272,100.00%,0,0.00%,,262,10,0,0,0,0,,3.14,0.00,0.00,
"(V19) (436GM) Lewistown CBOC",274,272,99.27%,2,0.73%,,260,12,1,1,0,0,,1.81,0.00,6.44,
"(V19) (436HC) 436HC HAVRE,MT (ORC)",249,232,93.17%,17,6.83%,,217,15,16,1,0,0,,8.65,0.00,0.00,
"(V19) (436MA) IDES Malmstrom AFB",6,6,100.00%,0,0.00%,,6,0,0,0,0,0,,,,,
"(V19) (442) Cheyenne, WY","14,301","14,023",98.06%,278,1.94%,,"13,569",454,191,83,2,2,,1.41,4.24,2.80,
"(V19) (442) Cheyenne","9,559","9,391",98.24%,168,1.76%,,"9,045",346,137,30,1,0,,1.68,3.46,3.00,
"(V19) (442GB) Sidney",213,213,100.00%,0,0.00%,,207,6,0,0,0,0,,1.29,,5.00,
"(V19) (442GC) Fort Collins","2,240","2,162",96.52%,78,3.48%,,"2,097",65,44,34,0,0,,1.21,8.35,4.09,
"(V19) (442GD) Greeley","2,023","1,994",98.57%,29,1.43%,,"1,961",33,8,18,1,2,,0.75,7.21,1.32,
"(V19) (442HK) R&C Healthcare MOC WY",264,261,98.86%,3,1.14%,,257,4,2,1,0,0,,1.73,,0.20,
"(V19) (442QA) Rawlins",2,2,100.00%,0,0.00%,,2,0,0,0,0,0,,0.00,,4.00,
"(V19) (554) Denver, CO","48,874","46,513",95.17%,"2,361",4.83%,,"43,612","2,901","1,740",388,174,59,,5.77,6.52,6.54,
"",(V19) (554) Eastern Colorado HCS,"28,548","27,549",96.50%,999,3.50%,,"26,465","1,084",792,125,52,30,,3.50,5.28,3.89
"",(V19) (554GB) Aurora,"1,740","1,727",99.25%,13,0.75%,,"1,635",92,11,2,0,0,,2.25,2.16,0.42
"",(V19) (554GC) Golden Clinic,"3,416","3,142",91.98%,274,8.02%,,"2,827",315,224,33,5,12,,8.34,10.74,5.19
"",(V19) (554GD) Pueblo,"4,074","3,783",92.86%,291,7.14%,,"3,527",256,164,82,39,6,,10.93,7.76,7.81
"",(V19) (554GE) Colorado Springs,"9,917","9,156",92.33%,761,7.67%,,"8,191",965,535,142,74,10,,8.10,9.82,9.54
"",(V19) (554GF) Alamosa,383,364,95.04%,19,4.96%,,341,23,10,4,4,1,,5.03,1.50,19.04
"",(V19) (554GG) La Junta,307,306,99.67%,1,0.33%,,300,6,1,0,0,0,,0.23,1.81,2.56
"",(V19) (554GH) Lamar,51,49,96.08%,2,3.92%,,48,1,2,0,0,0,,2.82,,
"",(V19) (554GI) Burlington CBOC,121,121,100.00%,0,0.00%,,117,4,0,0,0,0,,2.61,0.00,1.46
"",(V19) (554MA) IDES Fort Carson,317,316,99.68%,1,0.32%,,161,155,1,0,0,0,,,,
"(V19) (575) Grand Junction, CO","10,424","10,306",98.87%,118,1.13%,,"10,087",219,91,24,3,0,,1.83,2.28,2.53,
"",(V19) (575) Grand Junction,"9,736","9,619",98.80%,117,1.20%,,"9,413",206,91,23,3,0,,1.89,2.31,2.55
"",(V19) (575GA) Montrose,554,554,100.00%,0,0.00%,,543,11,0,0,0,0,,1.32,1.25,0.57
"",(V19) (575GB) Craig Telehealth Outreach Clinic,134,133,99.25%,1,0.75%,,131,2,0,1,0,0,,2.19,0.67,5.77
"(V19) (660) Salt Lake City, UT","28,963","27,661",95.50%,"1,302",4.50%,,"25,879","1,782",969,292,33,8,,5.38,6.08,2.50,
"",(V19) (660) Salt Lake City HCS - George E. Wahlen VAMC,"21,935","20,825",94.94%,"1,110",5.06%,,"19,285","1,540",827,252,25,6,,6.74,5.92,3.02
"",(V19) (660GA) Pocatello,"1,702","1,679",98.65%,23,1.35%,,"1,656",23,20,1,2,0,,2.42,21.38,1.00
"",(V19) (660GB) Ogden,"1,830","1,796",98.14%,34,1.86%,,"1,759",37,13,19,2,0,,3.80,7.74,2.56
"",(V19) (660GC) Ely,100,100,100.00%,0,0.00%,,100,0,0,0,0,0,,0.03,,
"",(V19) (660GD) Roosevelt,171,171,100.00%,0,0.00%,,171,0,0,0,0,0,,0.04,0.67,0.00
"",(V19) (660GE) Orem,979,970,99.08%,9,0.92%,,958,12,5,2,1,1,,1.46,25.81,0.63
"",(V19) (660GG) St. George,"1,162","1,135",97.68%,27,2.32%,,"1,091",44,27,0,0,0,,4.01,6.14,1.29
"",(V19) (660GJ) West Valley City,996,898,90.16%,98,9.84%,,793,105,76,18,3,1,,10.00,15.76,1.84
"","(V19) (660GK) Elko, NV",71,70,98.59%,1,1.41%,,49,21,1,0,0,0,,18.55,1.70,0.00
"",(V19) (660MA) IDES Hill AFB,17,17,100.00%,0,0.00%,,17,0,0,0,0,0,,3.50,0.00,0.00
"(V19) (666) Sheridan, WY","6,596","6,473",98.14%,123,1.86%,,"6,257",216,109,12,2,0,,4.25,2.87,1.33,
"",(V19) (666) Sheridan,"3,561","3,547",99.61%,14,0.39%,,"3,473",74,13,1,0,0,,2.40,2.40,0.83
"",(V19) (666GB) Casper,904,820,90.71%,84,9.29%,,769,51,74,10,0,0,,9.06,11.15,5.09
"",(V19) (666GC) Riverton,746,741,99.33%,5,0.67%,,710,31,3,1,1,0,,3.28,0.00,1.30
"",(V19) (666GD) Powell,428,427,99.77%,1,0.23%,,425,2,0,0,1,0,,0.70,0.78,0.05
"",(V19) (666GE) Gillette,453,434,95.81%,19,4.19%,,377,57,19,0,0,0,,7.19,4.51,0.00
"",(V19) (666GF) Rock Springs,504,504,100.00%,0,0.00%,,503,1,0,0,0,0,,1.13,0.80,0.35
"(V20) (463) Anchorage, AK","8,126","8,095",99.62%,31,0.38%,,"7,972",123,27,1,0,3,,1.16,1.25,0.35,
"",(V20) (463) Alaska VA Healthcare System,"6,039","6,014",99.59%,25,0.41%,,"5,920",94,22,0,0,3,,1.07,1.24,0.17
"",(V20) (463BU) Anchorage DCHV,495,494,99.80%,1,0.20%,,493,1,1,0,0,0,,,,
"",(V20) (463GA) Fairbanks,398,398,100.00%,0,0.00%,,386,12,0,0,0,0,,2.09,2.86,0.00
"",(V20) (463GB) Kenai,848,848,100.00%,0,0.00%,,832,16,0,0,0,0,,0.96,0.49,1.12
"",(V20) (463GC) Mat-Su,346,341,98.55%,5,1.45%,,341,0,4,1,0,0,,1.24,4.00,0.05
"(V20) (531) Boise, ID","20,010","18,899",94.45%,"1,111",5.55%,,"18,237",662,584,279,146,102,,1.02,10.17,0.87,
"",(V20) (531) Boise,"17,599","16,524",93.89%,"1,075",6.11%,,"15,927",597,555,274,145,101,,0.68,10.24,0.85
"(V20) (531GE) Twin Falls","1,123","1,121",99.82%,2,0.18%,,"1,077",44,2,0,0,0,,3.19,1.93,0.63,
"(V20) (531GG) Canyon County","1,278","1,244",97.34%,34,2.66%,,"1,223",21,27,5,1,1,,0.82,10.97,1.39,
"(V20) (531MA) IDES Mt Home AFB",8,8,100.00%,0,0.00%,,8,0,0,0,0,0,,,,,
"(V20) (531MB) IDES Idaho ANG",2,2,100.00%,0,0.00%,,2,0,0,0,0,0,,,,,
"(V20) (648) Portland, OR","50,856","48,991",96.33%,"1,865",3.67%,,"45,633","3,358","1,644",185,29,7,,7.29,5.40,1.32,
"(V20) (648) Portland","28,116","27,091",96.35%,"1,025",3.65%,,"25,566","1,525",892,101,25,7,,6.41,5.87,0.75,
"(V20) (648A4) Vancouver","8,644","8,286",95.86%,358,4.14%,,"7,646",640,332,25,1,0,,8.88,5.15,0.76,
"(V20) (648GA) Bend","2,516","2,442",97.06%,74,2.94%,,"2,320",122,54,18,2,0,,5.78,2.59,2.10,
"",(V20) (648GB) Salem,"3,322","3,141",94.55%,181,5.45%,,"2,734",407,177,3,1,0,,9.58,4.45,4.78
"",(V20) (648GD) North Coast,479,466,97.29%,13,2.71%,,447,19,13,0,0,0,,6.25,,0.71
"",(V20) (648GE) East Portland,"2,470","2,329",94.29%,141,5.71%,,"2,159",170,107,34,0,0,,7.41,21.00,2.07
"",(V20) (648GF) Hillsboro,"3,614","3,577",98.98%,37,1.02%,,"3,269",308,33,4,0,0,,5.04,4.26,2.82
"",(V20) (648GG) West Linn,"1,695","1,659",97.88%,36,2.12%,,"1,492",167,36,0,0,0,,6.25,,1.35
"(V20) (","53) Roseburg, OR","15,639","15,003",95.93%,636,4.07%,,"14,356",647,441,138,47,10,,3.36,9.10,1.33
"",(V20) (653) Roseburg HCS,"10,325","9,884",95.73%,441,4.27%,,"9,349",535,346,49,40,6,,3.76,8.19,1.40
"",(V20) (653BY) Eugene,"4,036","3,860",95.64%,176,4.36%,,"3,764",96,87,80,5,4,,3.32,16.35,0.87
"",(V20) (653GA) North Bend,787,768,97.59%,19,2.41%,,755,13,8,9,2,0,,3.20,0.00,3.46
"",(V20) (653GB) Brookings,491,491,100.00%,0,0.00%,,488,3,0,0,0,0,,0.51,0.80,0.22
"(V20) (","63) VA Puget Sound, WA","62,851","61,462",97.79%,"1,389",2.21%,,"58,842","2,620","1,105",245,36,3,,4.23,4.45,1.10
"",(V20) (663) Seattle,"30,516","29,810",97.69%,706,2.31%,,"28,664","1,146",558,120,26,2,,2.87,4.62,1.55
"",(V20) (663A4) American Lake,"25,086","24,513",97.72%,573,2.28%,,"23,314","1,199",445,119,8,1,,6.25,4.10,0.51
"",(V20) (663GA) King County,"1,918","1,899",99.01%,19,0.99%,,"1,767",132,19,0,0,0,,4.48,,1.96
"",(V20) (663GB) Bremerton (Kipsap County),937,935,99.79%,2,0.21%,,935,0,2,0,0,0,,0.70,0.72,0.75
"","(V20) (663GC) Bellingham Area (Whatcom County)/NWWA (Skagit County)","3,373","3,299",97.81%,74,2.19%,,"3,183",116,68,5,1,0,,2.91,5.94,1.09
"",(V20) (663GD) South Sound,914,901,98.58%,13,1.42%,,875,26,12,1,0,0,,3.32,,3.19
"","(V20) (663HK) PUGET SOUND MMU, WA",97,95,97.94%,2,2.06%,,94,1,1,0,1,0,,2.55,,
"",(V20) (663MA) IDES Fort Lewis,10,10,100.00%,0,0.00%,,10,0,0,0,0,0,,,,
"(V20) (668) Spokane, WA","20,026","19,596",97.85%,430,2.15%,,"19,140",456,289,116,21,4,,2.21,3.61,2.88,
"",(V20) (668) Spokane,"17,577","17,168",97.67%,409,2.33%,,"16,730",438,282,106,18,3,,2.75,3.62,3.49
"",(V20) (668GA) Wenatchee CBOC,736,736,100.00%,0,0.00%,,736,0,0,0,0,0,,0.12,0.05,0.11
"",(V20) (668GB) North Idaho,"1,678","1,658",98.81%,20,1.19%,,"1,640",18,6,10,3,1,,0.97,3.48,0.09
"",(V20) (668HK) Spokane Mobile OPC,35,34,97.14%,1,2.86%,,34,0,1,0,0,0,,2.17,,
"(V20) (687) Walla Walla, WA","10,517","10,344",98.36%,173,1.64%,,"9,935",409,130,32,11,0,,2.88,8.30,1.29,
"",(V20) (687) Walla Walla,"4,449","4,292",96.47%,157,3.53%,,"4,096",196,117,29,11,0,,2.17,8.47,0.97
"",(V20) (687GA) Richland WA,"1,960","1,949",99.44%,11,0.56%,,"1,835",114,9,2,0,0,,5.20,15.93,1.01
"",(V20) (687GB) Lewiston,"1,685","1,681",99.76%,4,0.24%,,"1,625",56,4,0,0,0,,1.83,4.87,3.23
"",(V20) (687GC) La Grande,658,658,100.00%,0,0.00%,,637,21,0,0,0,0,,3.63,3.91,2.08
"",(V20) (687HA) Yakima,"1,765","1,764",99.94%,1,0.06%,,"1,742",22,0,1,0,0,,2.15,2.00,0.71
"(V20) (692) White City, OR","12,310","11,930",96.91%,380,3.09%,,"11,670",260,192,131,36,21,,2.61,7.65,1.51,
"",(V20) (692) Southern Oregon Rehabilitation Ctr & Clinics,"10,631","10,254",96.45%,377,3.55%,,"10,009",245,189,131,36,21,,3.70,7.72,1.68
"",(V20) (692GA) Klamath Falls,"1,117","1,115",99.82%,2,0.18%,,"1,110",5,2,0,0,0,,0.43,0.00,0.02
"",(V20) (692GB) Grants Pass,562,561,99.82%,1,0.18%,,551,10,1,0,0,0,,0.85,0.00,0.88
"(V21) (","58) Manila, PI","2,292","2,253",98.30%,39,1.70%,,"2,118",135,30,8,1,0,,6.96,5.14,6.86
"",(V21) (358) Manila,"2,292","2,253",98.30%,39,1.70%,,"2,118",135,30,8,1,0,,6.96,5.14,6.86
"(V21) (459) Honolulu, HI","15,226","15,117",99.28%,109,0.72%,,"14,751",366,83,23,2,1,,2.90,0.95,1.49,
"",(V21) (459) Pacific Islands HCS (Honolulu),"9,058","9,035",99.75%,23,0.25%,,"8,869",166,22,1,0,0,,1.82,0.95,1.07
"(V21) (459GA) Maui Clinic",916,901,98.36%,15,1.64%,,866,35,14,1,0,0,,4.64,0.89,1.31,
"(V21) (459GB) Hilo Clinic","1,113","1,078",96.86%,35,3.14%,,"1,019",59,16,17,2,0,,7.46,0.40,2.67,
"(V21) (459GC) Kona Clinic",709,704,99.29%,5,0.71%,,689,15,3,2,0,0,,2.53,1.97,1.70,
"(V21) (459GD) Kauai Clinic",795,785,98.74%,10,1.26%,,776,9,10,0,0,0,,1.41,1.04,0.63,
"(V21) (459GE) Guam Clinic",898,879,97.88%,19,2.12%,,830,49,17,1,0,1,,5.40,1.17,0.73,
"(V21) (459GF) American Samoa Clinic",579,578,99.83%,1,0.17%,,571,7,0,1,0,0,,1.93,0.20,1.72,
"(V21) (459GG) Leeward Oahu","1,155","1,154",99.91%,1,0.09%,,"1,128",26,1,0,0,0,,2.16,,3.41,
"(V21) (459MA) IDES Honolulu C&P",3,3,100.00%,0,0.00%,,3,0,0,0,0,0,,,,,
"(V21) (570) Fresno, CA","19,732","18,903",95.80%,829,4.20%,,"18,154",749,641,142,38,8,,0.37,8.77,0.89,
"(V21) (570) Fresno","17,109","16,330",95.45%,779,4.55%,,"15,616",714,597,137,37,8,,0.28,8.80,0.93,
"",(V21) (570GA) Merced,919,903,98.26%,16,1.74%,,886,17,10,5,1,0,,0.43,11.70,0.94
"",(V21) (570GB) Tulare,"1,230","1,197",97.32%,33,2.68%,,"1,185",12,33,0,0,0,,0.79,7.55,0.89
"",(V21) (570GC) Oakhurst,474,473,99.79%,1,0.21%,,467,6,1,0,0,0,,0.43,4.20,0.09
"(V21) (612) N. California, CA","64,997","62,617",96.34%,"2,380",3.66%,,"59,374","3,243","1,883",353,118,26,,2.48,7.09,1.01,
"",(V21) (612A4) N. California HCS-Sacramento,"22,273","20,853",93.62%,"1,420",6.38%,,"19,464","1,389","1,073",230,98,19,,2.17,10.75,2.32
"",(V21) (612B4) Redding,"7,613","7,502",98.54%,111,1.46%,,"7,246",256,94,15,1,1,,1.93,3.67,0.16
"",(V21) (612BY) Oakland,"6,418","6,343",98.83%,75,1.17%,,"6,198",145,62,11,2,0,,2.61,2.58,0.72
"",(V21) (612GD) Fairfield,"1,836","1,825",99.40%,11,0.60%,,"1,791",34,7,2,2,0,,1.87,2.12,0.00
"",(V21) (612GE) Vallejo/Mare Island,"1,754","1,728",98.52%,26,1.48%,,"1,609",119,19,6,1,0,,3.17,3.36,0.01
"",(V21) (612GF) Martinez,"12,967","12,377",95.45%,590,4.55%,,"11,724",653,508,70,8,4,,3.85,7.81,0.11
"",(V21) (612GG) Chico,"3,381","3,305",97.75%,76,2.25%,,"3,185",120,65,10,0,1,,1.71,5.47,1.48
"",(V21) (612GH) McClellan,"7,634","7,569",99.15%,65,0.85%,,"7,113",456,49,9,6,1,,1.45,3.47,1.05
"",(V21) (612GI) Yuba City,"1,121","1,115",99.46%,6,0.54%,,"1,044",71,6,0,0,0,,5.98,0.00,0.78
"(V21) (640) Palo Alto, CA","44,478","43,265",97.27%,"1,213",2.73%,,"41,394","1,871","1,075",102,34,2,,2.93,4.08,2.33,
"",(V21) (640) Palo Alto-Palo Alto,"18,640","18,172",97.49%,468,2.51%,,"17,364",808,425,34,8,1,,2.27,4.04,1.76
"",(V21) (640A0) Palo Alto-Menlo Pk,"3,060","3,043",99.44%,17,0.56%,,"3,008",35,13,3,0,1,,12.70,1.92,0.92
"",(V21) (640A4) Livermore,"6,167","5,900",95.67%,267,4.33%,,"5,598",302,226,37,4,0,,4.56,4.43,1.17
"",(V21) (640BY) San Jose,"4,999","4,836",96.74%,163,3.26%,,"4,572",264,159,1,3,0,,3.79,5.57,2.91
"",(V21) (640GA) Palo Alto HCS- Capitola,147,146,99.32%,1,0.68%,,142,4,1,0,0,0,,1.87,,6.50
"",(V21) (640GB) Sonora (Tuolumne County),889,859,96.63%,30,3.37%,,817,42,30,0,0,0,,4.11,0.00,0.49
"",(V21) (640GC) Fremont,903,895,99.11%,8,0.89%,,847,48,8,0,0,0,,1.85,5.50,3.09
"",(V21) (640HA) Stockton,"2,461","2,406",97.77%,55,2.23%,,"2,281",125,46,0,9,0,,3.61,1.40,3.36
"",(V21) (640HB) Modesto,"2,672","2,591",96.97%,81,3.03%,,"2,513",78,74,6,1,0,,1.85,0.96,7.48
"",(V21) (640HC) Monterey,"4,540","4,417",97.29%,123,2.71%,,"4,252",165,93,21,9,0,,2.35,3.78,0.85
"(V21) (654) Reno, NV","24,654","23,440",95.08%,"1,214",4.92%,,"22,200","1,240",793,271,133,17,,6.06,9.19,2.84,
"",(V21) (654) Sierra Nevada HCS,"21,333","20,188",94.63%,"1,145",5.37%,,"19,057","1,131",742,253,133,17,,7.59,9.21,2.51
"",(V21) (654GA) Sierra Foothills,956,942,98.54%,14,1.46%,,918,24,10,4,0,0,,2.36,7.17,3.12
"",(V21) (654GB) Carson Valley,994,951,95.67%,43,4.33%,,908,43,29,14,0,0,,6.33,0.25,6.41
"",(V21) (654GC) Lahontan Valley,971,962,99.07%,9,0.93%,,924,38,9,0,0,0,,3.48,4.13,3.61
"",(V21) (654GD) Diamond View,400,397,99.25%,3,0.75%,,393,4,3,0,0,0,,0.26,14.00,2.82
"(V21) (662) San Francisco, CA","41,386","40,780",98.54%,606,1.46%,,"39,532","1,248",490,78,37,1,,3.68,2.93,1.58,
"",(V21) (662) San Francisco,"30,040","29,638",98.66%,402,1.34%,,"28,893",745,329,45,27,1,,4.30,2.65,1.29
"",(V21) (662GA) Santa Rosa,"3,853","3,793",98.44%,60,1.56%,,"3,629",164,53,4,3,0,,2.41,4.57,0.34
"",(V21) (662GC) Eureka,"2,868","2,807",97.87%,61,2.13%,,"2,599",208,56,2,3,0,,4.76,4.05,4.29
"",(V21) (662GD) Ukiah,"1,491","1,443",96.78%,48,3.22%,,"1,389",54,21,23,4,0,,6.14,4.21,2.71
"",(V21) (662GE) Northern San Bruno CBOC,"1,001",999,99.80%,2,0.20%,,992,7,2,0,0,0,,1.27,0.59,0.08
"",(V21) (662GF) San Francisco CBOC,985,982,99.70%,3,0.30%,,972,10,3,0,0,0,,0.77,3.04,0.83
"",(V21) (662GG) Clearlake CBOC,"1,086","1,056",97.24%,30,2.76%,,996,60,26,4,0,0,,4.45,2.61,3.49
"",(V21) (662HA) Yountville (Orc),62,62,100.00%,0,0.00%,,62,0,0,0,0,0,,,,
"(V22) (593) Las Vegas, NV","41,853","40,568",96.93%,"1,285",3.07%,,"39,009","1,559","1,091",164,29,1,,4.10,3.30,2.40,
"",(V22) (593) Southern Nevada HCS,"26,693","25,928",97.13%,765,2.87%,,"24,930",998,630,105,29,1,,3.49,3.35,1.37
"(V22) (593GC) Pahrump",914,913,99.89%,1,0.11%,,911,2,0,1,0,0,,0.45,0.00,0.13,
"(V22) (593GD) Northwest PCC","3,611","3,387",93.80%,224,6.20%,,"3,194",193,203,21,0,0,,5.88,0.68,6.41,
"(V22) (593GE) Southeast PCC","3,178","3,084",97.04%,94,2.96%,,"2,943",141,78,16,0,0,,4.69,0.25,2.10,
"(V22) (593GF) Southwest PCC","4,414","4,244",96.15%,170,3.85%,,"4,123",121,154,16,0,0,,4.73,2.25,2.66,
"(V22) (593GG) Northeast PCC","3,043","3,012",98.98%,31,1.02%,,"2,908",104,26,5,0,0,,2.42,2.42,1.11,
"(V22) (600) Long Beach, CA","49,445","48,665",98.42%,780,1.58%,,"46,771","1,894",730,29,11,10,,5.69,2.56,2.21,
"(V22) (600) Long Beach HCS","44,662","43,964",98.44%,698,1.56%,,"42,314","1,650",649,29,10,10,,6.36,2.56,1.79,
"(V22) (600GA) Anaheim","1,108","1,074",96.93%,34,3.07%,,992,82,33,0,1,0,,4.88,7.04,2.20,
"(V22) (600GB) Santa Ana","1,856","1,840",99.14%,16,0.86%,,"1,748",92,16,0,0,0,,4.85,2.02,2.62,
"",(V22) (600GC) Cabrillo (Long Beach),442,442,100.00%,0,0.00%,,438,4,0,0,0,0,,1.15,,2.28
"",(V22) (600GD) Santa Fe Springs/Whittier,682,676,99.12%,6,0.88%,,655,21,6,0,0,0,,3.68,12.50,4.27
"",(V22) (600GE) Laguna Hills,695,669,96.26%,26,3.74%,,624,45,26,0,0,0,,4.56,,5.55
"(V22) (","05) Loma Linda, CA","53,584","51,933",96.92%,"1,651",3.08%,,"49,431","2,502","1,116",300,154,81,,3.46,6.11,3.59
"",(V22) (605) Loma Linda VAMC,"45,894","44,405",96.76%,"1,489",3.24%,,"42,208","2,197",992,266,150,81,,3.20,6.16,3.58
"",(V22) (605GA) Victorville,"1,538","1,490",96.88%,48,3.12%,,"1,430",60,14,30,4,0,,2.99,,11.01
"",(V22) (605GB) Murrieta,"1,932","1,839",95.19%,93,4.81%,,"1,686",153,92,1,0,0,,8.55,3.70,0.33
"",(V22) (605GC) Palm Desert,"1,782","1,775",99.61%,7,0.39%,,"1,739",36,7,0,0,0,,0.85,4.09,2.48
"",(V22) (605GD) Corona (Riverside County) CA,"1,015","1,012",99.70%,3,0.30%,,980,32,2,1,0,0,,2.83,,0.81
